George Cybenko,"Thayer School of Engineering Dartmouth College, Hanover, NH, USA"
Anup K. Kalia,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"
Norbou Buchler,"U.S. Army Research Laboratory, Adelphi, MD, USA"
Arwen H. DeCostanza,"U.S. Army Research Laboratory, Adelphi, MD, USA"
Munindar P. Singh,"Department of Computer Science, North Carolina State University, Raleigh, NC, USA"
Sang Peter Chin,"Department of Computer Science, Boston University, Boston, MA, USA,Systems and Technology Research, Woburn, MA, USA"
Jonathan Cohen,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Alison Albin,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Mykola Hayvanovych,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Elizabeth Reilly,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Gavin Brown,"Department of Computer Science, Boston University, Boston, MA, USA"
Jacob Harer,"Department of Computer Science, Boston University, Boston, MA, USA"
Fei-Yue Wang 0001,"The State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Science, Beijing, China"
Yuqing Zhu 0002,"Department of Computer Science, California State University, Los Angeles, CA, USA"
Deying Li 0001,"School of Information, Renmin University of China, Beijing, China"
Ruidong Yan,"School of Information, Renmin University of China, Beijing, China"
Weili Wu,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Yuanjun Bi,"Suning Commerce Research and Development Center USA, Inc., Palo Alto, CA, USA"
Abigail Paradise,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Asaf Shabtai,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Rami Puzis,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Aviad Elyashar,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Yuval Elovici,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Mehran Roshandel,"Deutsche Telekom AG (T-Systems and Telekom Innovation Laboratories), Berlin, Germany"
Christoph Peylo,"Bosch Center for Artificial Intelligence, Renningen, Germany"
Yantao Jia,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Yuanzhuo Wang,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Xiaolong Jin,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Zeya Zhao,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Xueqi Cheng,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Keith Paarporn,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"
Ceyhun Eksin,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA,School of Biological Sciences, Georgia Institute of Technology, Atlanta, GA, USA"
Joshua S. Weitz,"School of Physics, Georgia Institute of Technology, Atlanta, GA, USA"
Jeff S. Shamma,"Computer, Electrical and Mathematical Science and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia"
Shaymaa Khater,"Solebrity, Inc., Ashburn, VA, USA"
Denis Gracanin,"Department of Computer Science, Virginia Tech, Blacksburg, VA, USA"
Hicham G. Elmongui,"Department of Computer and Systems Engineering, Alexandria University, Alexandria, Egypt"
Geoffrey P. Morgan,"Institute for Software Research Department, Carnegie Mellon University, Pittsburgh, PA, USA"
Michael J. Lanham,"United States Military Academy, West Point, NY, USA"
William Frankenstein,"Mathematics and Statistics Department, Georgetown University, Washington, DC, USA"
Kathleen M. Carley,"Institute for Software Research Department, Carnegie Mellon University, Pittsburgh, PA, USA"
Rahul Potharaju,"Cloud and Information Services Laboratory, Microsoft, Redmond, WA, USA"
Mizanur Rahman,"Florida International University, Miami, FL, USA"
Bogdan Carbunar,"Florida International University, Miami, FL, USA"
Yile Yang,"Lenovo Machine Intelligence Laboratory, Lenovo Group Ltd., Hong Kong"
Zhiyi Lu,"Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong"
Victor O. K. Li,"Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong"
Kuang Xu,"Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong"
Yuan Liu 0002,"Software College, Northeastern University, Shenyang, China"
Jie Zhang 0002,"School of Computer Science and Engineering, Nanyang Technological University, Singapore"
Quanyan Zhu,"Department of Electrical and Computer Engineering, New York University, New York, NY, USA"
Xingwei Wang 0001,"Software College, Northeastern University, Shenyang, China"
Yong Yuan,"State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China,Qingdao Academy of Intelligent Industries, Qingdao, China"
