"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Xiaolin Gui,Xi'an Jiaotong University,cn,Ruowei Gui,Xi'an Jiaotong University,cn,2020,tcss
Xiaolin Gui,Xi'an Jiaotong University,cn,Dong Liao,Xi'an Jiaotong University,cn,2020,tcss
Xiaolin Gui,Xi'an Jiaotong University,cn,Jian An,Xi'an Jiaotong University,cn,2020,tcss
Xiaolin Gui,Xi'an Jiaotong University,cn,Danwei Liang,Xi'an Jiaotong University,cn,2020,tcss
Hsien-Chu Wu,National Chin-Yi University of Technology,tw,Lo-Yao Yeh,National Chi Nan University,tw,2020,tcss
Prem Prakash Jayaraman,Swinburne University of Technology,au,Abdur Rahim Mohammad Forkan,Swinburne University of Technology,au,2020,tsc
Prem Prakash Jayaraman,Swinburne University of Technology,au,Philip Branch,Swinburne University of Technology,au,2020,tsc
Prem Prakash Jayaraman,Swinburne University of Technology,au,Zahraa Said Abdallah,Monash University,us,2015,tcss
Prem Prakash Jayaraman,Swinburne University of Technology,au,Shonali Krishnaswamy,Institute for Infocomm Research (I2R),sg,2015,tcss
Prem Prakash Jayaraman,Swinburne University of Technology,au,Arkady B. Zaslavsky,CSIRO,au,2015,tcss
Xingwei Wang 0001,Northeastern University,us,Quanyan Zhu,York University,ca,2017,tcss
Xingwei Wang 0001,Northeastern University,us,Yuan Liu 0002,Northeastern University,us,2017,tcss
Xingwei Wang 0001,Northeastern University,us,Jie Zhang 0002,Nanyang Technological University,sg,2017,tcss
Xingwei Wang 0001,Northeastern University,us,Yanli Li,Changshu Institute of Technology,cn,2018,tcss
Xingwei Wang 0001,Northeastern University,us,Xiaonan Wang 0001,Changshu Institute of Technology,cn,2018,tcss
Wei Li 0058,University of Sydney,us,Chaoxi Li,Shenzhen University,cn,2018,tcss
Wei Li 0058,University of Sydney,us,Chengwen Luo 0001,Shenzhen University,cn,2018,tcss
Wei Li 0058,University of Sydney,us,Albert Y. Zomaya,University of Sydney,us,2018,tcss
Wei Li 0058,University of Sydney,us,Jianqiang Li 0001,Shenzhen University,cn,2018,tcss
Wei Li 0058,University of Sydney,us,Hande Hong,National University of Singapore,us,2018,tcss
Wei Li 0058,University of Sydney,us,Zhong Ming 0001,Shenzhen University,cn,2018,tcss
Longjiang Guo,Shaanxi Normal University,cn,Xiaoming Wang 0001,Shaanxi Normal University,cn,2020,tcss
Longjiang Guo,Shaanxi Normal University,cn,Lichen Zhang 0001,Shaanxi Normal University,cn,2020,tcss
Yingshu Li,Georgia State University,us,Zhipeng Cai 0001,Georgia State University,us,2018,tcss
Yingshu Li,Georgia State University,us,Jinbao Wang,Harbin Institute of Technology,cn,2018,tcss
Yingshu Li,Georgia State University,us,Ji Li 0007,Georgia State University,us,2018,tcss
Yingshu Li,Georgia State University,us,Zhi Tian,George Mason University,us,2019,tcss
Yingshu Li,Georgia State University,us,Xiuzhen Cheng,Shandong University,cn,2019,tcss
Yingshu Li,Georgia State University,us,Madhuri Siddula,Georgia State University,us,2019,tcss
Yingshu Li,Georgia State University,us,Zhipeng Cai 0001,Georgia State University,us,2019,tcss
Meikang Qiu,Shenzhen University,cn,Han Qiu 0001,Telecom ParisTech,fr,2020,tcss
Meikang Qiu,Shenzhen University,cn,Zhong Ming 0001,Shenzhen University,cn,2020,tcss
Meikang Qiu,Shenzhen University,cn,Meiqin Liu,Zhejiang University,cn,2020,tcss
Li Lu 0001,UESTC,cn,Yongshuai Liu,UESTC,cn,2015,tcss
Hongwei Du 0001,Harbin Institute of Technology,cn,Shanshan Wei,Harbin Institute of Technology,cn,2019,tcss
Hongwei Du 0001,Harbin Institute of Technology,cn,He Yuan,Harbin Institute of Technology,cn,2019,tcss
Hongwei Du 0001,Harbin Institute of Technology,cn,Caiwei Yuan,Harbin Institute of Technology,cn,2019,tcss
