"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Gaosheng Wu,Huazhong University of Science and Technology,cn,Junzhuang Wu,Huazhong University of Science and Technology,cn,2020,tcss
Gaosheng Wu,Huazhong University of Science and Technology,cn,Yuhua Li 0003,Huazhong University of Science and Technology,cn,2020,tcss
Gaosheng Wu,Huazhong University of Science and Technology,cn,Huicai Deng,Huazhong University of Science and Technology,cn,2020,tcss
Gaosheng Wu,Huazhong University of Science and Technology,cn,Ruixuan Li,Huazhong University of Science and Technology,cn,2020,tcss
Gaosheng Wu,Huazhong University of Science and Technology,cn,Xiwu Gu,Huazhong University of Science and Technology,cn,2020,tcss
Boyi Xu,Shanghai Jiao Tong University,cn,Lifei Lu,Shanghai Jiao Tong University,cn,2018,tcss
Boyi Xu,Shanghai Jiao Tong University,cn,Guoqiang Li 0001,Shanghai Jiao Tong University,cn,2018,tcss
Boyi Xu,Shanghai Jiao Tong University,cn,Hongming Cai,Shanghai Jiao Tong University,cn,2018,tcss
Boyi Xu,Shanghai Jiao Tong University,cn,Lida Xu,Old Dominion University,us,2018,tcss
Yancai Xu,Chinese Academy of Sciences,cn,Xiao Wang 0002,Chinese Academy of Sciences,cn,2021,tcss
Yancai Xu,Chinese Academy of Sciences,cn,Linyao Yang,Chinese Academy of Sciences,cn,2021,tcss
Yancai Xu,Chinese Academy of Sciences,cn,Fei-Yue Wang 0001,Chinese Academy of Sciences,cn,2021,tcss
Sylvain Lamprier,Sorbonne Universities,fr,Simon Bourigault,CNRS,fr,2016,snam
Sylvain Lamprier,Sorbonne Universities,fr,Patrick Gallinari,Sorbonne Universities,fr,2016,snam
Shou-Fei Han,Nanjing University,cn,MengChu Zhou,Macau University of Science and Technology,cn,2021,tcss
Shou-Fei Han,Nanjing University,cn,Kun Zhu 0001,Nanjing University,cn,2021,tcss
Shou-Fei Han,Nanjing University,cn,Xinye Cai,Nanjing University,cn,2021,tcss
Ryan Wen Liu,Wuhan University,cn,Yechao Yang,Institute of High Performance Computing,sg,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Piao Chen,Institute of High Performance Computing,sg,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Yauheni Pyrloh,Belarusian State University of Informatics and Radioelectronics,by,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Rick Siow Mong Goh,Institute of High Performance Computing,sg,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Wei Jing,Institute of High Performance Computing,sg,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Zengxiang Li,Digital Research Institute,cn,2020,tcss
Ryan Wen Liu,Wuhan University,cn,Zhe Xiao,Institute of High Performance Computing,sg,2020,tcss
Krzysztof Juszczyszyn,Wrocław University of Science and Technology,pl,Anna Musial,Wrocław University of Science and Technology,pl,2013,snam
Krzysztof Juszczyszyn,Wrocław University of Science and Technology,pl,Marcin Budka,Bournemouth University,gb,2013,snam
Krzysztof Juszczyszyn,Wrocław University of Science and Technology,pl,Katarzyna Musial,Kings College London,uk,2013,snam
Xiang Li 0010,Fudan University,cn,Yang Chen 0001,Fudan University,cn,2020,tcss
Xiang Li 0010,Fudan University,cn,Xiao-Jie Li,Fudan University,cn,2020,tcss
Xiang Li 0010,Fudan University,cn,Jiyao Hu,Fudan University,cn,2020,tcss
Xiang Li 0010,Fudan University,cn,Yu Xiao 0001,Aalto University,fi,2020,tcss
Xiang Li 0010,Fudan University,cn,Pan Hui 0001,University of Helsinki,fi,2020,tcss
Gerd Lindner,Karlsruhe Institute of Technology,de,Michael Hamann,Karlsruhe Institute of Technology,de,2016,snam
Gerd Lindner,Karlsruhe Institute of Technology,de,Dorothea Wagner,Karlsruhe Institute of Technology,de,2016,snam
Gerd Lindner,Karlsruhe Institute of Technology,de,Christian L. Staudt,Karlsruhe Institute of Technology,de,2016,snam
Gerd Lindner,Karlsruhe Institute of Technology,de,Henning Meyerhenke,Karlsruhe Institute of Technology,de,2016,snam
Padam Kumar,Jaypee Institute of Information Technology,in,Bhawna Saxena,Jaypee Institute of Information Technology,in,2019,snam
Mansoureh Takaffoli,University of Alberta,us,Afra Abnar,University of Alberta,us,2015,snam
Mansoureh Takaffoli,University of Alberta,us,Osmar R. Zaïane,University of Alberta,us,2015,snam
Mansoureh Takaffoli,University of Alberta,us,Reihaneh Rabbany,University of Alberta,us,2015,snam
Mansoureh Takaffoli,University of Alberta,us,Reihaneh Rabbany,University of Alberta,us,2013,snam
Mansoureh Takaffoli,University of Alberta,us,Ricardo J. G. B. Campello,University of Alberta,us,2013,snam
Mansoureh Takaffoli,University of Alberta,us,Osmar R. Zaïane,University of Alberta,us,2013,snam
Mansoureh Takaffoli,University of Alberta,us,Justin Fagnan,University of Alberta,us,2013,snam
Justin Fagnan,University of Alberta,us,Reihaneh Rabbany,University of Alberta,us,2013,snam
Justin Fagnan,University of Alberta,us,Ricardo J. G. B. Campello,University of Alberta,us,2013,snam
Justin Fagnan,University of Alberta,us,Mansoureh Takaffoli,University of Alberta,us,2013,snam
Justin Fagnan,University of Alberta,us,Osmar R. Zaïane,University of Alberta,us,2013,snam
Alysson Bolognesi Prado,State University of Campinas,br,Maria Cecília Calani Baranauskas,State University of Campinas,br,2013,snam
Jukka-Pekka Onnela,Oxford University,uk,Kimmo Kaski,Aalto University,fi,2009,socnet
Jukka-Pekka Onnela,Oxford University,uk,Riitta Toivonen,Helsinki University of Technology,fi,2009,socnet
Jukka-Pekka Onnela,Oxford University,uk,Jari Saramäki,Helsinki University of Technology,fi,2009,socnet
Jukka-Pekka Onnela,Oxford University,uk,Lauri Kovanen,Helsinki University of Technology,fi,2009,socnet
Jukka-Pekka Onnela,Oxford University,uk,Mikko Kivelä,Helsinki University of Technology,fi,2009,socnet
Niklas Lavesson,Blekinge Institute of Technology,se,Eva García Martín,Blekinge Institute of Technology,se,2016,snam
Iraklis Paraskakis,University of Sheffield,uk,Dimitrios Pappas,University of Sheffield,uk,2017,snam
Jing-Kai Lou,National Taiwan University,tw,Cheng-Te Li,National Taiwan University,tw,2012,snam
Jing-Kai Lou,National Taiwan University,tw,Yi-Kuang Ko,National Taiwan University,tw,2012,snam
Jing-Kai Lou,National Taiwan University,tw,Shou-De Lin,National Taiwan University,tw,2012,snam
Jing-Kai Lou,National Taiwan University,tw,Shyh-Kang Jeng,National Taiwan University,tw,2012,snam
Andrew Slaughter,US Army Research Institute for the Behavioral and Social Sciences,us,George G. Vega Yon,University of Southern California,us,2021,socnet
Andrew Slaughter,US Army Research Institute for the Behavioral and Social Sciences,us,Kayla de la Haye,University of Southern California,us,2021,socnet
Antonia Russo,Mediterranea University of Reggio Calabria,it,Gianluca Lax,Mediterranea University of Reggio Calabria,it,2021,tcss
Rémy Cazabet,National Institute of Informatics,jp,Hideaki Takeda 0001,National Institute of Informatics,jp,2015,snam
Rémy Cazabet,National Institute of Informatics,jp,Masahiro Hamasaki,National Institute of Advanced Industrial Science and Technology (AIST),jp,2015,snam
Rémy Cazabet,National Institute of Informatics,jp,Hideaki Takeda 0001,National Institute of Informatics,jp,2012,snam
Rémy Cazabet,National Institute of Informatics,jp,Frédéric Amblard,University of Social Science,fr,2012,snam
Rémy Cazabet,National Institute of Informatics,jp,Masahiro Hamasaki,National Institute of Advanced Industrial Science and Technology (AIST),jp,2012,snam
Rémy Cazabet,National Institute of Informatics,jp,Hideaki Takeda 0001,National Institute of Informatics,jp,2016,snam
Giacomo Fiumara,University of Messina,it,Salvatore Catanese,University of Messina,it,2013,snam
Giacomo Fiumara,University of Messina,it,Emilio Ferrara,USC Information Sciences Institute,us,2013,snam
Konstantin Kuzmin,Rennselaer Polytechnic Institute,us,Mingming Chen,Rensselaer Polytechnic Institute,us,2014,tcss
