Dumidu S. Talagala,0,"Centre for Vision, Speech, and Signal Processing, University of Surrey, Guildford, U.K."
Chi Harold Liu,0,"Sejong University, Seoul, South Korea,The Beijing Institute of Technology, Beijing, China"
Júlio Cezar Estrella,0,"Institute of Mathematics and Computer Science (ICMC), University of São Paulo, São Paulo, Brazil"
Nikos Tziritas,0,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciencess, Shenzhen, China"
Thanasis Loukopoulos,0,"Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece"
Samee U. Khan,0,"Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA"
Cheng-Zhong Xu 0001,0,"Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA,Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciencess, Shenzhen, China"
Sudip Misra,0,"Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India"
Sumit Goswami,0,"Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India"
Chaynika Taneja,0,"Defence Research and Development Organization, New Delhi, India"
Farshad Salimi Naneh Karan,0,"Department of Mechanical Aerospace and Biomedical Engineering, The University of Tennessee, Knoxville, TN, USA"
Subhadeep Chakraborty,0,"Department of Mechanical Aerospace and Biomedical Engineering, The University of Tennessee, Knoxville, TN, USA"
Erica Briscoe,0,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Darren Scott Appling,0,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Joel Schlosser,0,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Zhe Liu 0002,0,"IBM Almaden Research Laboratory, San Jose, CA, USA"
Bernard J. Jansen,0,"Social Computing Group, Qatar Computing Research Institute, Doha, Qatar"
Chao Chen 0015,0,"School of Information Technology, Deakin University, Melbourne, Australia"
Jun Zhang 0010,0,"School of Information Technology, Deakin University, Melbourne, Australia"
Yi Xie 0002,0,"School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China"
Yang Xiang 0001,0,"School of Information Technology, Deakin University, Melbourne, Australia"
Wanlei Zhou,0,"School of Information Technology, Deakin University, Melbourne, Australia"
Mohammad Mehedi Hassan,0,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Abdulhameed Alelaiwi,0,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Kevin S. Xu 0001,0,
Nitin Agarwal,0,
Dongwon Lee 0001,0,
Nathaniel Osgood,0,
Yang Liu 0046,0,"New Jersey Institute of Technology, Newark, NJ, USA"
Songhua Xu,0,"New Jersey Institute of Technology, Newark, NJ, USA"
Qing Ping,0,"College of Computing & Informatics, Drexel, Philadelphia, PA, USA"
Christopher C. Yang,0,"College of Computing & Informatics, Drexel, Philadelphia, PA, USA"
Sarah A. Marshall,0,"Department of Biostatistical Sciences, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Nancy E. Avis,0,"Department of Social Sciences and Health Policy, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Edward H. Ip,0,"Department of Biostatistical Sciences and the Department of Social Sciences & Health Policy, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Ngot Bui,0,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
John Yen,0,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
Vasant G. Honavar,0,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
Alireza Farasat,0,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Geoff A. Gross,0,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Rakesh Nagi,0,"Department of Industrial and Enterprise Systems Engineering, University of Illinois at Urbana–Champaign, Urbana, IL, USA"
Alexander G. Nikolaev,0,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Feng Xia 0001,0,"School of Software, Dalian University of Technology, Dalian, China"
Behrouz Jedari,0,"School of Software, Dalian University of Technology, Dalian, China"
Laurence Tianruo Yang,0,"Department of Computer Science, St. Francis Xavier University, Antigonish, Canada"
Jianhua Ma,1,"Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan"
Runhe Huang,0,"Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan"
Mehwish Nasim,0,"University of Konstanz, Konstanz, Germany"
Raphaël Charbey,0,"Telecom ParisTech, Paris, France"
Christophe Prieur,1,"Telecom ParisTech, Paris, France"
Ulrik Brandes,0,"University of Konstanz, Konstanz, Germany"
Srinka Basu,0,"Department of Engineering and Technological Studies, University of Kalyani, Kalyani, India"
Ujjwal Maulik,0,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
Oishik Chatterjee,0,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
Camellia Sarkar,0,"Centre for Biosciences and Biomedical Engineering, IIT Indore, Indore, India"
Sarika Jalan,0,"Complex Systems Laboratory, Discipline of Physics, IIT Indore, Indore, India"
Duan-Shin Lee,0,"Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"
Cheng-Shang Chang,0,"Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan"
Ying Liu,1,"Premise Technology, Inc, Hsinchu, Taiwan"
Guangmo Amo Tong,0,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Shasha Li,0,"Ningbo Institute of Technology, Zhejiang University, Ningbo, China"
Weili Wu,0,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Ding-Zhu Du,0,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Torin Stepan,0,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Jason M. Morawski,0,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Scott Dick,0,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
James Miller 0001,0,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Yuqing Mao,0,"School of Information Technology, Nanjing University of Chinese Medicine, Nanjing, China"
Haifeng Shen,0,"School of Computer Science, Engineering and Mathematics, Flinders University, Adelaide, SA, Australia"
Xiwang Yang,0,"Ads Delivery and Optimization at toutiao.com, Haidian, Beijing, China,New York University, New York, NY, USA"
Chao Liang,0,"Apple Inc., Cupertino, CA, USA,Alcatel-Lucent, Murray Hill, NJ, USA,New York University, Brooklyn, NY, USA"
Miao Zhao,0,"Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong"
Hongwei Wang 0004,0,"Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China,Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong"
Hao Ding 0006,0,"Department of Electrical and Computer Engineering, New York University Tandon School of Engineering, Brooklyn, NY, USA"
Yong Liu 0013,0,"Department of Electrical and Computer Engineering, New York University Tandon School of Engineering, Brooklyn, NY, USA"
Yang Li,1,"Sina Weibo, Beijing, China"
