Hicham G. Elmongui,Alexandria University
Geoffrey P. Morgan,Carnegie Mellon University
Michael J. Lanham,United States Military Academy
William Frankenstein,Georgetown University
Kathleen M. Carley,Carnegie Mellon University
Rahul Potharaju,Microsoft
Mizanur Rahman,Florida International University
Bogdan Carbunar,Florida International University
Zhiyi Lu,University of Hong Kong
Victor O. K. Li,University of Hong Kong
Kuang Xu,University of Hong Kong
Yuan Liu 0002,Northeastern University
Jie Zhang 0002,Nanyang Technological University
Quanyan Zhu,York University
Xingwei Wang 0001,Northeastern University
Yong Yuan,Chinese Academy of Sciences
Fei-Yue Wang 0001,Chinese Academy of Sciences
Daniel Zeng,Chinese Academy of Sciences
Fei-Yue Wang 0001,Chinese Academy of Sciences
Maria Glenski,University of Notre Dame
Corey Pennycuff,University of Notre Dame
Tim Weninger,University of Notre Dame
Qingpeng Zhang,City University of Hong Kong
Xingyi Zhang,Anhui University
Congtao Wang,Anhui University
Yansen Su,Anhui University
Linqiang Pan,Huazhong University of Science and Technology
Hai-Feng Zhang 0003,Anhui University
Poonam Yadav,University of Cambridge
Ioannis Charalampidis,CERN
Jeremy Cohen,Imperial College London
John Darlington,Imperial College London
François Grey,University of Geneva
José Aguilar 0001,University of Los Andes
Gerardo Garcia,University of Los Andes
Cheng-Te Li,National Cheng Kung University
Shou-De Lin,National Taiwan University
Diego Perna,University of Calabria
Roberto Interdonato,University of Calabria
Andrea Tagarelli,University of Calabria
Sarbani Roy,Jadavpur University
Congyu Wu,University of Virginia
Matthew S. Gerber,University of Virginia
Yang Xing,Cranfield University
Chen Lv,Cranfield University
Zhaozhong Zhang,Cranfield University
Huaji Wang,Cranfield University
Xiaoxiang Na,University of Cambridge
Dongpu Cao,Cranfield University
Efstathios Velenis,Cranfield University
Fei-Yue Wang 0001,Chinese Academy of Sciences
Klimis S. Ntalianis,Athens University of Applied Sciences
Anastasios D. Doulamis,University of Athens
Nicolas Tsapatsoulis,Cyprus University of Technology
Nikos E. Mastorakis,Technical University of Sofia
Alun D. Preece,Cardiff University
Irena Spasic,Cardiff University
Kieran Evans,Cardiff University
David H. Rogers,Cardiff University
William M. Webberley,Cardiff University
Colin Roberts,Cardiff University
Martin Innes,Cardiff University
Yahui Wu,National University of Defense Technology
Su Deng,National University of Defense Technology
Hongbin Huang,National University of Defense Technology
Khobaib Zaamout,University of Calgary
Ken Barker 0001,University of Calgary
Yung-Yin Lo,National Taiwan University
Wanjiun Liao,National Taiwan University
Cheng-Shang Chang,National Tsing Hua University
Ying-Chin Lee,National Tsing Hua University
Surendra Sedhai,Nanyang Technological University
Aixin Sun,Nanyang Technological University
Peijun Ye,Chinese Academy of Sciences
Shuai Wang 0005,Chinese Academy of Sciences
Fei-Yue Wang 0001,Chinese Academy of Sciences
Eunice E. Santos,Illinois Institute of Technology
Eugene Santos,Dartmouth College
John Korah,Illinois Institute of Technology
Jeremy E. Thompson,Dartmouth College
Yan Zhao 0005,Dartmouth College
Vairavan Murugappan,Illinois Institute of Technology
Jacob Russell,Dartmouth College
Yu Luo 0003,Columbia University
Garud Iyengar,Columbia University
Venkat Venkatasubramanian,Columbia University
Rong-Kuan Shen,Shih Hsin University
Yi-Nan Lin,Ming Chi University of Technology
Tong-Ying Tony Juang,National Taipei University
Victor R. L. Shen,Chaoyang University of Technology
Soo Yong Lim,National Taipei University
Alex Cassidy,Washington University in St. Louis
Eric Cawi,Washington University in St. Louis
Arye Nehorai,Washington University in St. Louis
Stavros Souravlas,University of Macedonia
Angelo Sifaleras,University of Macedonia
Shuai Wang 0005,Chinese Academy of Sciences
Xiao Wang 0002,Chinese Academy of Sciences
Peijun Ye,Chinese Academy of Sciences
Yong Yuan,Chinese Academy of Sciences
Fei-Yue Wang 0001,Chinese Academy of Sciences
Eleni Stai,EPFL
Eirini Milaiou,University of Athens
Vasileios Karyotis,University of Athens
Symeon Papavassiliou,University of Athens
Rongsheng Dong,Guilin University of Electronic Technology
Qingpeng Zhang,City University of Hong Kong
Guoyong Cai,Guilin University of Electronic Technology
Shrisha Rao,International Institute of Information Technology
Wayes Tushar,University of Queensland
Chau Yuen,Singapore University of Technology and Design
Wen-Tai Li,Singapore University of Technology and Design
David B. Smith 0001,CSIRO
Tapan Kumar Saha,University of Queensland
Kristin L. Wood,Singapore University of Technology and Design
Fei-Yue Wang 0001,Chinese Academy of Sciences
Yong Yuan,Chinese Academy of Sciences
Chunming Rong,University of Stavanger
Jun Jason Zhang,University of Denver
Cong Yang,University of Siegen
Olaf Flak,University of Silesia
Marcin Grzegorzek,University of Economics in Katowice
Ji Li 0007,Georgia State University
Zhipeng Cai 0001,Georgia State University
Jinbao Wang,Harbin Institute of Technology
Meng Han,Kennesaw State University
Yingshu Li,Georgia State University
Alireza Louni,Stevens Institute of Technology
K. P. Subbalakshmi,Stevens Institute of Technology
Yishi Lin,Chinese University of Hong Kong
Wei Chen,Microsoft
John C. S. Lui,Chinese University of Hong Kong
Stephen L. France,Mississippi State University
Mahyar Sharif Vaghefi,University of Wisconsin-Milwaukee
William H. Batchelder,University of California - Irvine
Samya Muhuri,Indian Institute of Engineering Science and Technology
Susanta Chakraborty,Indian Institute of Engineering Science and Technology
Sabitri Nanda Chakraborty,University of Kalyani
Eugenius Kaszkurewicz,Federal University of Rio de Janeiro
Amit Bhaya,Federal University of Rio de Janeiro
Pei-Yuan Zhou,The Hong Kong Polytechnic University
Keith C. C. Chan,The Hong Kong Polytechnic University
Carol Xiaojuan Ou,Tilburg University
Koustav Rudra,IIT Kharagpur
Ashish Sharma 0004,IIT Kharagpur
Niloy Ganguly,IIT Kharagpur
Saptarshi Ghosh 0001,IIT Kharagpur
Alan Kuhnle,University of Florida
Md Abdul Alim,University of Florida
Xiang Li 0016,University of Florida
Huiling Zhang,University of Florida
My T. Thai,University of Florida
Yunpeng Xiao,Chongqing University
Xixi Li,Chongqing University
Haohan Wang,Carnegie Mellon University
Ming Xu 0008,Tsinghua University
Yanbing Liu,Chongqing University
William A. Wallace,Rensselaer Polytechnic Institute
Ghita Mezzour,International University of Rabat
William Frankenstein,Georgetown University
Kathleen M. Carley,Carnegie Mellon University
L. Richard Carley,Carnegie Mellon University
Guangmo Tong,University of Texas at Dallas
Weili Wu,University of Texas at Dallas
Ding-Zhu Du,University of Texas at Dallas
Xiaokang Wang,Huazhong University of Science and Technology
Wei Wang 0088,Huazhong University of Science and Technology
Laurence T. Yang,Huazhong University of Science and Technology
Siwei Liao,Huazhong University of Science and Technology
Dexiang Yin,Huazhong University of Science and Technology
M. Jamal Deen,McMaster University
Kamal Taha,Khalifa University
Qi Xuan,Zhejiang University
Mingming Zhou,Zhejiang University
Zhiyuan Zhang,University of California - Davis
Chenbo Fu,Zhejiang University
Yun Xiang,Zhejiang University
Zhefu Wu,Zhejiang University
Vladimir Filkov,University of California - Davis
Jin-Hee Cho,U.S. Army Research Laboratory
Kashif Zia,Sohar University
Dinesh Kumar Saini,Sohar University
Arshad Muhammad 0001,Sohar University
Alois Ferscha,Johannes Kepler University
Xiao Wang 0002,Qingdao Academy of Intelligent Industries
Fei-Yue Wang 0001,National University of Defense Technology
Ge Guo,Dalian Maritime University
Dandan Li,Dalian Maritime University
Noha Alduaiji,Majmaah University
Amitava Datta,University of Western Australia
Jianxin Li 0001,University of Western Australia
Li Li 0013,Tsinghua University
Shuofeng Wang,Tsinghua University
Fei-Yue Wang 0001,Chinese Academy of Sciences
Juanjuan Li,Qingdao Academy of Intelligent Industries
Xiaochun Ni,Qingdao Academy of Intelligent Industries
Yong Yuan,Qingdao Academy of Intelligent Industries
Fei-Yue Wang 0001,Chinese Academy of Sciences
Yong Yuan,Qingdao Academy of Intelligent Industries
Juanjuan Li,Qingdao Academy of Intelligent Industries
Dongpu Cao,University of Waterloo
Lingxi Li,Indiana University
Petros A. Ioannou,University of Southern California
Miguel Ángel Sotelo,Polytechnic School University of Alcalá
Dmitri Goldenberg,Tel-Aviv University
Alon Sela,Ariel University
Erez Shmueli,Tel-Aviv University
Pratik Chattopadhyay,IIT (BHU) Varanasi
Lipo Wang,Nanyang Technological University
Yap-Peng Tan,Nanyang Technological University
Lixing Wang,Northeastern University
Juanjuan Li,Beijing Institute of Technology
Shuai Wang 0005,Chinese Academy of Sciences
Yong Yuan,Qingdao Academy of Intelligent Industries
Xiaochun Ni,Qingdao Academy of Intelligent Industries
Fei-Yue Wang 0001,National University of Defense Technology
Zehong Hu,Nanyang Technological University
Jie Zhang 0002,Nanyang Technological University
Bay-Yuan Hsu,University of California - Santa Barbara
Yi-Feng Lan,Tunghai University
Chih-Ya Shen,National Tsing Hua University
Seyyed Hadi Sajadi,Sharif University of Technology
MohammadAmin Fazli,Sharif University of Technology
Jafar Habibi,Sharif University of Technology
Wei Wei 0006,Xi’an University of Technology
Shuai Liu 0002,Inner Mongolia University
Wenjia Li,New York Institute of Technology
Ding-Zhu Du,University of Texas at Dallas
Rui Qin,Qingdao Academy of Intelligent Industries
Yong Yuan,Qingdao Academy of Intelligent Industries
Fei-Yue Wang 0001,Chinese Academy of Sciences
Xiao Xue,Tianjin University
Giagia Gao,Henan Polytechnic University
Shufang Wang,Henan Polytechnic University
Zhiyong Feng 0002,Tianjin University
Youyang Qu,Deakin University
Shui Yu,University of Technology Sydney
Longxiang Gao,Deakin University
Wanlei Zhou,University of Technology Sydney
Sancheng Peng,Guangdong University of Foreign Studies
Honghao Gao,Shanghai University
Wanqiu Huang,Shanghai University
Xiaoxian Yang,Shanghai Polytechnic University
Lutao Zheng,Tongji University
Guanjun Liu,Tongji University
Chungang Yan,Tongji University
Changjun Jiang,Tongji University
Qingpeng Zhang,City University of Hong Kong
Dominic DiFranzo,Cornell University
Bassem Makni,IBM
James A. Hendler,Rensselaer Polytechnic Institute
Suman Kalyan Maity,Northwestern University
Animesh Mukherjee 0001,IIT Kharagpur
Jun Jason Zhang,Chinese Academy of Sciences
