Mehdi Ghazanfari,Iran University of Science and Technology
Md. Saddam Hossain Mukta,Bangladesh University of Engineering and Technology
Mohammed Eunus Ali,Bangladesh University of Engineering and Technology
Jalal Mahmud,IBM
David J. Crandall,Indiana University
Hamidreza Alvari,University of Central Florida
Alireza Hajibagheri,University of Central Florida
Gita Sukthankar,University of Central Florida
NhatHai Phan,University of Oregon
Dejing Dou,University of Oregon
Ilire Hasani-Mavriqi,Graz University of Technology
Florian Geigl,Graz University of Technology
Subhash Chandra Pujari,Graz University of Technology
Elisabeth Lex,Graz University of Technology
Denis Helic,Graz University of Technology
Charalampos Chelmis,University of Southern California
Annapurna Jonnalagadda,VIT University
Lakshmanan Kuppusamy,VIT University
Jannis Koch,Karlsruhe Institute of Technology
Christian L. Staudt,Karlsruhe Institute of Technology
Maximilian Vogel,Karlsruhe Institute of Technology
Henning Meyerhenke,Karlsruhe Institute of Technology
Paridhi Jain 0001,Indraprastha Institute of Information Technology (IIIT-Delhi)
Riccardo Guidotti,University of Pisa
Ioanna Miliou,University of Pisa
Noé Gaumont,CNRS
Rahat Ibn Rafiq,University of Colorado
Homa Hosseinmardi,University of Colorado
Sabrina Arredondo Mattson,University of Colorado
Richard Han,University of Colorado
Qin Lv,University of Colorado
Pavlos Paraskevopoulos,University of Trento
Themis Palpanas,Paris Descartes University
Mohsen Shahriari,RWTH Aachen
Omid Askari Sichani,University of California - Santa Barbara
Joobin Gharibshah,University of California - Riverside
Mahdi Jalili,RMIT University
Elvis Saravia,National Tsing Hua University
Carlos Rene Argueta,National Tsing Hua University
Yi-Shin Chen,National Tsing Hua University
Simon Bourigault,CNRS
Gennaro Cordasco,University of Naples
Luisa Gargano,University of Salerno
Adele A. Rescigno,University of Salerno
Sudhir B. Kylasa,Purdue University
Giorgios Kollias,IBM
Ananth Grama,Purdue University
Azadeh Hemmati,University of Sydney
Eelke M. Heemskerk,Leiden University
Shampa Chakraverty,Netaji Subhas Institute of Technology
Anuradha Yadav,Netaji Subhas Institute of Technology
Ritu Sibal,Netaji Subhas Institute of Technology
Blair D. Sullivan,North Carolina State University
Christian Brugger,University of Kaiserslautern
André Lucas Chinazzo,University of Kaiserslautern
Alexandre Flores John,University of Kaiserslautern
Christian de Schryver,University of Kaiserslautern
Norbert Wehn,University of Kaiserslautern
Wolfgang Eugen Schlauch,University of Kaiserslautern
Mayank Yadav,Indian Institute of Technology
Rana Forsati,Michigan State University
Iman Barjasteh,Michigan State University
Dennis Ross,Michigan State University
Abdol-Hossein Esfahanian,Michigan State University
Hayder Radha,Michigan State University
Luca Pappalardo,University of Pisa
Riivo Kikas,University of Pisa
Fosca Giannotti,University of Pisa
Tayfun Tuna,University of Houston
Esra Akbas,Florida State University
Ahmet Aksoy,University of Nevada
Muhammed Abdullah Canbaz,University of Nevada
Umit Karabiyik,Sam Houston State University
Bilal Gonen,University of Cincinnati
Ramazan Aygun,University of Alabama
Ke Jiang,University of California - Davis
Jiamou Liu,University of Auckland
Anastasia Moskvina,Auckland University of Technology
Anuradha Goswami,Symbiosis International University (SIU)
Ajey Kumar,Symbiosis International University (SIU)
Panagiotis Georgiadis 0001,University of Athens
Peixin Gao,University of Maryland - College Park
Hui Miao 0001,University of Maryland - College Park
John S. Baras,University of Maryland - College Park
MohammadTaghi Hajiaghayi,University of Maryland - College Park
Xuhong Zhang 0001,University of California - Irvine
Carter T. Butts,University of California - Irvine
Riadh Bouslimi,Higher Institute of Technological Studies
Mouhamed Gaith Ayadi,ISG-University of Tunis
Dave McKenney,Carleton University
Tony White,Carleton University
Kevin Ryczko,University of Ontario Institute of Technology
Adam Domurad,University of Waterloo
Nicholas Buhagiar,Ryerson University
Ahlem Nabli,University of Tunis
Mohamed Hammami,Al-Baha University
Pravallika Devineni,University of California - Riverside
Christos Faloutsos,Carnegie Mellon University
Alan Kuhnle,University of Florida
Nam P. Nguyen,Towson University
Thang N. Dinh,Virginia Commonwealth University
My T. Thai,Ton Duc Thang University
Jinseok Kim 0001,University of Illinois at Urbana-Champaign
Jana Diesner,University of Illinois at Urbana-Champaign
Kazunori Seki,University of Tokyo
Masataka Nakamura,University of Tokyo
Yasmine Chaabani,University of Tunis
Parul Goyal Wasan,Manav Rachna International University
Neera Jain,Business Communication Management Development Institute
Richard O. Sinnott,University of Melbourne
Lule Ahmedi,University of Prishtina
Korab Rrmoku,University of Prishtina
Kadri Sylejmani,University of Prishtina
Dardan Shabani,University of Prishtina
Prateek Dewan,Indraprastha Institute of Information Technology - Delhi (IIITD)
Ponnurangam Kumaraguru,Indraprastha Institute of Information Technology - Delhi (IIITD)
Amna Dridi,Higher Institute of Management of Tunis
Yahya Slimani,High Institute of Multimedia Arts of Manouba
Khawla Asmi,CNRS
Sho Tsugawa,University of Tsukuba
Hiroyuki Ohsaki,Kwansei Gakuin University
Johnnatan Messias,UFMG
João Paulo Diniz,UFMG
Elias Soares,UFMG
Miller Ferreira,UFMG
Matheus Araújo,UFMG
Lucas Bastos,UFMG
Manoel Miranda,UFMG
Niyati Aggrawal,Jaypee Institute of Information Technology
Archit Ahluwalia,Jaypee Institute of Information Technology
Prashi Khurana,Jaypee Institute of Information Technology
Anuja Arora,Jaypee Institute of Information Technology
Seyed Mohammad Taheri,Sharif University of Technology
Mohammad Firouzi,Sharif University of Technology
Elahe Ghalebi K.,TU Wien
Arijit Khan 0001,Nanyang Technological University
Charu C. Aggarwal,IBM
Nikos Salamanos,Athens University of Economics and Business
Elli Voudigari,Athens University of Economics and Business
Emmanuel J. Yannakoudakis,Athens University of Economics and Business
Natarajan Meghanathan,Jackson State University
Paraskevas Tsantarliotis,University of Ioannina
Evaggelia Pitoura,University of Ioannina
Panayiotis Tsaparas,University of Ioannina
Chao Huang 0001,University of Notre Dame
Shenglong Zhu,University of Notre Dame
Brian Mann,University of Notre Dame
Mauro Coletto,Ca' Foscari University of Venice
Claudio Lucchese,Nokia Bell Labs
Fabrizio Silvestri,Ca' Foscari University of Venice
Muhammad Fahim Uddin,University of Bridgeport
Jeongkyu Lee,University of Bridgeport
Mark Kibanov,University of Kassel
Gerd Stumme,University of Kassel
Dimitrios Kravvaris,Ionian University
Katia Lida Kermanidis,Ionian University
Nikos Tziritas,Chinese Academy of Sciences
Eirini-Eleni Tsiropoulou,University of New Mexico
Athina Thanou,University of Athens
Symeon Papavassiliou,University of Athens
P. M. Krishnaraj,Ramaiah Institute of Technology
Ankith Mohan,Ramaiah Institute of Technology
Anne-Sophie Himmel,TU Berlin
Hendrik Molter,TU Berlin
Manuel Sorge,TU Berlin
Sergio Greco,University of Calabria
Cristian Molinaro,University of Calabria
Chiara Pulice,University of Maryland - College Park
Ximena Quintana,University of Maryland - College Park
Michael Crawford,Florida Atlantic University
Reema Aswani,Indian Institute of Technology
S. P. Ghrera,Jaypee University of Information Technology
Arpan Kumar Kar,Indian Institute of Technology
Satish Chandra 0003,Jaypee Institute of Information Technology
Angeliki Antoniou,University of the Peloponnese
George Lepouras,University of the Peloponnese
Vassilis Poulopoulos,University of the Peloponnese
Stavroula Bampatzia,University of the Peloponnese
Ioannis Bourlakos,University of the Peloponnese
Soumajit Pramanik,IIT Kharagpur
Qinna Wang,CNRS
Bivas Mitra,IIT Kharagpur
Michalis Korakakis,Ionian University
Evaggelos Spyrou,Institute of Informatics and Telecommunications
Stavros J. Perantonis,Institute of Informatics and Telecommunications
Dimitrios Pappas,University of Sheffield
Iraklis Paraskakis,University of Sheffield
Lênin Ferreira Barbosa,University of São Paulo
Luciano Antonio Digiampietri,University of São Paulo
Abeed Sarker,University of Pennsylvania
Kamil Topal,Case Western Reserve University
Mehmet Koyutürk,Case Western Reserve University
Gultekin Özsoyoglu,Case Western Reserve University
Aparna Sarswat,National Institute of Technology
Vidyadhari Jami,National Institute of Technology
Ram Mohana Reddy Guddeti,National Institute of Technology
Waqas Khawaja,National University of Ireland
Brian Davis 0001,National University of Ireland
Michael Taylor 0002,University of Wolverhampton
Alberto Lumbreras,CNRS
Bertrand Jouve,CNRS
Manas Ranjan Patra,Berhampur University
Shampy Kamboj,Amity University
Zillur Rahman,Indian Institute of Technology
Georgios Drakopoulos,Ionian University
Andreas Kanavos,University of Patras
Phivos Mylonas,Ionian University
Spyros Sioutas,Ionian University
Sherali Zeadally,University of Kent
Mazen El-Masri,Qatar University
Nabeela Altrabsheh,Qatar University
Hanady Mansour,Qatar University
Ozer Ozdikis,Middle East Technical University
Pinar Karagoz,Middle East Technical University
Halit Oguztüzün,Middle East Technical University
Antonio Altamura,University of Salerno
Armando Faggiano,University of Salerno
Delfina Malandrino,University of Salerno
Alessandro Bessi,University of Southern California
Ehsan Mohammady Ardehaly,Illinois Institute of Technology
Aron Culotta,Illinois Institute of Technology
Tjeerd van Campen,Tilburg University
Herbert Hamers,Tilburg University
Bart Husslage,Fontys University of Applied Sciences
Roy Lindelauf,Netherlands Defense Academy
Pin-Yu Chen,IBM
Soumi Dutta,Indian Institute of Engineering Science and Technology
Sujata Ghatak,Institute of Engineering & Management
Ratnadeep Dey,Institute of Engineering & Management
Saptarshi Ghosh 0001,Indian Institute of Engineering Science and Technology
Ilhem Feddaoui,Tunis University
Faîçal Felhi,Tunis University
Jalel Akaichi,Tunis University
Yannick Léo,CNRS
Márton Karsai,CNRS
Eric Fleury,CNRS
Jing Tang 0004,Nanyang Technological University
Xueyan Tang,Nanyang Technological University
Junsong Yuan,State University of New York at Buffalo
Nagendra Kumar 0001,Indian Institute of Technology
Gopi Ande,Indian Institute of Technology
Jessu Shirish Kumar,Indian Institute of Technology
Manish Singh 0002,Indian Institute of Technology
Madhumangal Pal,Vidyasagar University
Alexander Strang,Case Western Reserve University
Oliver Haynes,Rochester Institute of Technology
Nathan D. Cahill,Rochester Institute of Technology
Darren A. Narayan,Rochester Institute of Technology
Pivithuru Wijegunawardana,Syracuse University
Vatsal Ojha,Carnegie Mellon University
Sucheta Soundarajan,Syracuse University
Chandan K. Reddy,Virginia Tech
Yike Liu,University of Michigan
Tara Safavi,University of Michigan
Neil Shah,Carnegie Mellon University
Yasin N. Silva,Arizona State University
Deborah L. Hall,Arizona State University
Christopher Rich,Arizona State University
JooYoung Lee,Innopolis University
Rasheed Hussain,Innopolis University
Victor Rivera,Innopolis University
Davlatbek Isroilov,Innopolis University
Germán Creamer,Stevens Institute of Technology
Supattana Sukrat,Prince of Songkla University
Borworn Papasratorn,King Mongkut's University of Technology Thonburi
Mohammad Ghane'i-Ostad,University of Birjand
Hamed Vahdat-Nejad,University of Birjand
Majid Abdolrazzagh-Nezhad,Bozorgmehr University of Qaenat
Xiaotao Gu,Tsinghua University
Jie Tang 0001,Tsinghua University
Jing Zhang 0001,Renmin University
Fanjin Zhang,Tsinghua University
Debing Liu,Tsinghua University
Haeran Cho,University of Bristol
Yi Yu 0003,University of Bristol
Dima Kagan,Ben-Gurion University of the Negev
Yuval Elovici,Ben-Gurion University of the Negev
Michael Fire,University of Washington
Kashfia Sailunaz,University of Calgary
Manmeet Dhaliwal,University of Calgary
Jon G. Rokne,University of Calgary
Reda Alhajj,University of Calgary
Taufik Sutanto,Syarif Hidayatullah State Islamic University Jakarta
Hiba Sebei,Sfax University
Mohamed Ali Hadj Taieb,Sfax University
Mohamed Ben Aouicha,Sfax University
Andreea Nita,University of Bucharest
Cristiana Maria Ciocanea,University of Bucharest
Steluta Manolache,University of Bucharest
Laurentiu Rozylowicz,University of Bucharest
Negar Emami,Shiraz University
Niloofar Mozafari,Shiraz University
Hamidreza Mahyar,Sharif University of Technology
Rouzbeh Hasheminezhad,TU Wien
Elaheh Ghalebi,ETH Zurich
Ali Nazemian,TU Wien
Radu Grosu,Sharif University of Technology
Ali Movaghar 0001,TU Wien
Maryam Zamanian,Arak University of Medical Sciences
Farzaneh Zolala,Institute for Futures Studies
Ali Akbar Haghdoost,Institute for Futures Studies
Mohammad Reza Baneshi,Institute for Futures Studies
Sorin Adam Matei,Purdue University
Amani Abu Jabal,Purdue University
Elisa Bertino,Purdue University
Sean M. Fitzhugh,U.S. Army Research Laboratory
Arwen H. DeCostanza,U.S. Army Research Laboratory
Elaheh Raisi,Virginia Tech
Bert Huang,Virginia Tech
Diego Perna,University of Calabria
Andrea Tagarelli,University of Calabria
Majed Al Zayer,University of Nevada
Mehmet Hadi Gunes,University of Nevada
Razieh Malekhosseini,Islamic Azad University
Mehdi Hosseinzadeh 0001,Iran University of Medical Sciences
Keyvan Navi,University of Human Development
Xingyu Niu,Columbia University
Irwin King,Chinese University of Hong Kong
Michael R. Lyu,Chinese University of Hong Kong
Jerry Scripps,Grand Valley State University
Christian Trefftz,Grand Valley State University
Zachary Kurmas,Grand Valley State University
Fattane Zarrinkalam,Ryerson University
Ebrahim Bagheri,Ryerson University
Hossein Fani,Ryerson University
Feras N. Al-Obeidat,Zayed University
Negar Ahmadi,Eindhoven University of Technology
Rene M. H. Besseling,Eindhoven University of Technology
Mykola Pechenizkiy,Eindhoven University of Technology
Brian Heredia,Florida Atlantic University
Joseph D. Prusa,Florida Atlantic University
Taghi M. Khoshgoftaar,Florida Atlantic University
L. Venkata Subramaniam,IBM
Yingjie Shi,Tianjin University
Xuechang Zhu,Tianjin University
Shuhan Yuan,University of Arkansas
Xintao Wu,University of Arkansas
Zahra Mousavilou,Zanjan University of Medical Sciences
Rozita Jamili Oskouei,Islamic Azad University
Jisun An,Qatar Computing Research Institute
Haewoon Kwak,Qatar Computing Research Institute
Soon-Gyo Jung,Qatar Computing Research Institute
Joni Salminen,Qatar Computing Research Institute
Yaser Sobhanifard,Iran University of Science and Technology
Ghodrat Allah Balighi,Iran University of Science and Technology
Juan Esteban Suarez Lopez,National University of Colombia
Mohammed Al-Taie,Universiti Teknologi Malaysia
Seifedine Nimer Kadry,Beirut Arab University
Matthieu Latapy,CNRS
Tiphaine Viard,CNRS
Clémence Magnien,CNRS
L. Richard Carley,Carnegie Mellon University
Manika Lamba,University of Delhi
Margam Madhusudhan,University of Delhi
Bhavtosh Rath,University of Minnesota
Wei Gao 0001,Victoria University of Wellington
Jing Ma 0004,Chinese University of Hong Kong
Jaideep Srivastava,University of Minnesota
Radhika Arava,Nanyang Technological University
Rishi Ranjan Singh,Indian Institute of Technology
Shubham Chaudhary 0001,Indian Institute of Technology
Manas Agarwal,Indian Institute of Technology
Yayati Gupta,Indian Institute of Technology
Debarati Das 0002,University of Minnesota
Akrati Saxena,Indian Institute of Technology
Ralucca Gera,Naval Postgraduate School
S. R. S. Iyengar,Indian Institute of Technology
Loris Belcastro,University of Calabria
Fabrizio Marozzo,University of Calabria
Paolo Trunfio,University of Calabria
Jyoti Sunil More,Affiliated to Mumbai University
Chelpa Lingam,Affiliated to Mumbai University
Ashkan Ebadi,University of Florida
Patrick J. Tighe,University of Florida
Parisa Rashidi,University of Florida
Tjeerd Zandberg,NHL-Stenden university of Applied Sciences
Mark Huisman,University of Groningen
Mehjabin Khatoon,B S Abdur Rahman Crescent Institute of Science and Technology
W. Aisha Banu,B S Abdur Rahman Crescent Institute of Science and Technology
Kelsey Suyehira,Boise State University
Arif Mohaimin Sadri,Florida International University
Samiul Hasan,University of Central Florida
Satish V. Ukkusuri,Purdue University
Keshab Nath,North Eastern Hill University
Swarup Roy,Sikkim University
Ruocheng Guo,Arizona State University
Ruggero G. Pensa,University of Turin
Gianpiero di Blasi,University of Turin
Livio Bioglio,University of Turin
Mohan Timilsina,National University of Ireland
Mathieu d'Aquin,National University of Ireland
Haixuan Yang,National University of Ireland
Laxmi Amulya Gundala,Boise State University
Shreekanth M. Prabhu,PES University
Balasubramanya Murthy Kannanedhi Narasimha Sastry,PES University
Natarajan Subramanyam,PES University
Anas Aloudat,University of Jordan
Ons Al-Shamaileh,Zayed University
Katina Michael,University of Wollongong
T. M. G. Tennakoon,Queensland University of Technology
Ali Vardasbi,University of Tehran
Mehdi Azaouzi,Institute of Computer Science
Delel Rhouma,Institute of Computer Science
Biraj Dahal,Clemson University
Sathish A. P. Kumar,Clemson University
Zhenlong Li,Coastal Carolina University
Aqsa Mehreen,University of Science and Technology of China
Yang Hui,University of Science and Technology of China
Ali Zulqurnain,University of Science and Technology of China
Tomilayo Komolafe,Virginia Tech
Sarah Henrickson Parker,Virginia Tech
Warren K. Bickel,Virginia Tech
Navaljeet Singh Arora,Indian Institute of Technology
Jürgen Lerner,University of Konstanz
Alessandro Lomi,University of Lugano
Adam Badawy,USC Information Sciences Institute
Aseel Addawood,University of Illinois at Urbana-Champaign
Kristina Lerman,USC Information Sciences Institute
Emilio Ferrara,USC Information Sciences Institute
Mohammad Ali Zare Chahooki,Yazd University
Raazesh Sainudiin,Uppsala University
Kumar Yogeeswaran,University of Canterbury
Kyle Nash,University of Alberta
Rania Sahioun,University of Canterbury
Oguzhan Çitlak,Gazi University
Murat Dörterler,Gazi University
Ibrahim Alper Dogru,Gazi University
Derek Doran,Wright State University
Luisa Massari,University of Pavia
Maria Carla Calzarossa,University of Pavia
Daniele Tessera,Catholic University
Junjie Zhang 0004,Wright State University
Yafang Wang,Shandong University
Gerard de Melo,Shandong University
Gerhard Weikum,Rutgers University
Ajitesh Srivastava,University of Southern California
Robin Petering,University of Southern California
Nicholas Barr,University of Southern California
Rajgopal Kannan,University of Southern California
Eric Rice,University of Southern California
Viktor K. Prasanna,University of Southern California
Panagiotis Symeonidis,Free University
Stergios Chairistanidis,Free University
Padam Kumar,Jaypee Institute of Information Technology
Ismail Kassou,Carnegie Mellon University
Xukun Li,Kansas State University
Doina Caragea,Kansas State University
Huaiyu Zhang,Kansas State University
Muhammad Imran 0002,Khalifa University
Zakariya Ghalmane,Mohammed V University
Mohammed El Hassouni,Mohammed V University
Hocine Cherifi,CNRS
Matteo Francia,University of Bologna
Enrico Gallinucci,University of Bologna
Matteo Golfarelli,University of Bologna
Mohammad Hajarian,Islamic Azad University
Azam Bastanfard,Islamic Azad University
Javad Mohammadzadeh,Islamic Azad University
Madjid Khalilian,Islamic Azad University
Bahareh Ashenagar,Shiraz University
Ali Hamzeh,Shiraz University
Didier Grimaldi,Ramon Llull University
Ammara Habib,Gomal University
Muhammad Zubair Asghar,Gomal University
Anam Habib,University of Peshawar
Aurangzeb Khan,Gomal University
Ammar Mohammed,Cairo University
Rania Kora,Cairo University
Jenny Jin,University of California - Irvine
Guigang Zhang,University of California - Irvine
Phillip C.-Y. Sheu,University of California - Irvine
Abdelmalek Habi,CNRS
Brice Effantin,CNRS
Hamamache Kheddouci,CNRS
Soumajyoti Sarkar,Arizona State University
Mohammad Almukaynizi,Arizona State University
Paulo Shakarian,Arizona State University
Tanya Y. Berger-Wolf,University of Illinois at Chicago
Taleb Khafaei,Islamic Azad University
Alireza Tavakoli Taraghi,Shahid Beheshti University
Ali Rezaee,University of Human Development
Zachary K. Stine,University of Arkansas
Karsten Ladner,Oklahoma Baptist University
Ruchishya Ramineni,Oklahoma State University
K. M. George,Oklahoma State University
Mikel Joaristi,Boise State University
Edoardo Serra,Boise State University
Francesca Spezzano,Boise State University
Roberto Interdonato,CNRS
Dingyi Yin,China Telecom Beijing Research Institute
Reza Motamedi,University of Oregon
Soheil Jamshidi,University of Oregon
Reza Rejaie,University of Oregon
Arefeh Yavary,University of Tehran
Hedieh Sajedi,University of Tehran
Mohammad Saniee Abadeh,Tarbiat Modares University
Auroop R. Ganguly,Northeastern University
Tanay Mehta,Northeastern University
Tirthak Patel,Northeastern University
Ravi Sundaram,Northeastern University
Devesh Tiwari,Northeastern University
Joshua Goldstein,University of Virginia
Ian Davidson,University of California - Davis
Claire Kelling,Penn State University
Sallie Keller,University of Virginia
Markos Aivazoglou,Institute of Computer Science
Antonios O. Roussos,Institute of Computer Science
Dionisis Margaris,University of Athens
Costas Vassilakis,University of the Peloponnese
Sotiris Ioannidis,Institute of Computer Science
Jason Polakis,University of Illinois at Chicago
Dimitris Spiliotopoulos,University of the Peloponnese
Ayoub Jibouni,Mohammed V University
Dounia Lotfi,Mohammed V University
Mohamed El Marraki,Mohammed V University
Ahmed Hammouch,Mohammed V University
Mohammadreza Keyvanpour,Alzahra University
Zahra Karimi Zandian,Alzahra University
Maryam Heidarypanah,Islamic Azad University
Vanessa Cedeno-Mieles,Virginia Tech
Zhihao Hu,Virginia Tech
Xinwei Deng,Virginia Tech
Christopher L. Barrett,Virginia Tech
Noshir Contractor,University of Virginia
Saliya Ekanayake,University of Virginia
Joshua M. Epstein,University of Virginia
Brian J. Goode,Northwestern University
Dustin Machi,Virginia Tech
Michael W. Macy,University of Virginia
Madhav V. Marathe,University of Virginia
Naren Ramakrishnan,University of Virginia
Parang Saraf,University of Virginia
Nathan Self,University of Virginia
Roshanak Aghabaghery,Amirkabir University of Technology
Alireza Hashemi Golpayegani,Amirkabir University of Technology
Leila Esmaeili,Amirkabir University of Technology
Jundong Chen,Dickinson State University
Md. Shafaeat Hossain,Southern Connecticut State University
Isuru Udayangani Hewapathirana,University of Kelaniya
Dominic Lee,University of Canterbury
Elena Moltchanova,University of Canterbury
Jeanette C. McLeod,University of Canterbury
Nouhaila Idrissi,Mohammed V University
Ahmed Zellou,Mohammed V University
Renhao Cui,Ohio State University
Gagan Agrawal,Augusta University
Rajiv Ramnath,Ohio State University
Mohammad Reza Sanatkar,Duke University
Tyler Derr,Michigan State University
Zhiwei Wang 0001,Michigan State University
Jamell Dacon,Michigan State University
Jiliang Tang,Michigan State University
Santhoshkumar Srinivasan,Vellore Institute of Technology
L. D. Dhinesh Babu,Vellore Institute of Technology
Ruta Uzupyte,VU Institute of Data Science and Digital Technologies
Ernst C. Wit,Vytautas Magnus University
Hemant Purohit,George Mason University
Carlos Castillo 0001,Universitat Pompeu Fabra
Rahul Pandey,George Mason University
Asal Jalilvand,Shahid Beheshti University
Mahmood Neshati,Shahid Beheshti University
Hamid Khalifi,Moulay Ismail University
Sarah Dahir,Moulay Ismail University
Abderrahim El Qadi,Mohammed V University
Youssef Ghanou,Moulay Ismail University
Ranjan Kumar Behera,National Institute of Technology
Debadatta Naik,Indian Institute of Technology
Dharavath Ramesh,Indian Institute of Technology
Santanu Kumar Rath,National Institute of Technology
Akhil Kumar Srivastav,Vellore Institute of Technology
S. Athithan,SRM Institute of Technology
Mini Ghosh,Vellore Institute of Technology
Amin Rezaeipanah,University of Rahjuyan Danesh Borazjan
Gholamreza Ahmadi,Persian Gulf University
Samaneh Sechin Matoori,Islamic Azad University
George A. Barnett,University of California - Davis
Carlos Algara,University of California - Davis
Wenquan Li,Shandong University
Qinma Kang,Shandong University
Hanzhang Kong,Shandong University
Yunfan Kang,University of California - Riverside
Ali Choumane,Lebanese University
Ali Awada,Lebanese University
Ali Harkous,Lebanese University
Maria Prokofieva,Victoria University Business School
Shah Jahan Miah,Victoria University Business School
Mohammadreza Doostmohammadian,Semnan University
Hamid R. Rabiee,Sharif University of Technology
Usman A. Khan,Tufts University
Behnaz Eslami,Islamic Azad University
Zahra Rezaei,University of Kashan
Majid Fouladian,Islamic Azad University
Hossein Ebrahimpour-Komleh,University of Kashan
R. Nagamanjula,Mother Teresa Women's University
Bhawna Saxena,Jaypee Institute of Information Technology
Vikas Saxena,Jaypee Institute of Information Technology
Sotirios Gyftopoulos,Democritus University of Thrace
George Drosatos,Institute for Language and Speech Processing
Giorgos Stamatelatos,Democritus University of Thrace
Pavlos S. Efraimidis,Democritus University of Thrace
Sara Rajabzadeh,K. N. Toosi University of Technology
Pedram Shahsafi,K. N. Toosi University of Technology
Mostafa Khoramnejadi,Amirkabir University of Technology
Jean Marie Tshimula,University of Sherbrooke
Belkacem Chikhaoui,TELUQ University
Shengrui Wang,University of Sherbrooke
Shuyang Gu,Texas A&M University
Chuangen Gao,Shandong University
Ruiqi Yang,Beijing University of Technology
Dachuan Xu,Beijing University of Technology
Soufiene Jaffali,Imam Abdurrahman bin Faisal University
Salma Jamoussi,University of Sfax
Abdelmajid Ben Hamadou,University of Sfax
Vijay Verma,National Institute of Technology
Rajesh Kumar Aggarwal,National Institute of Technology
Silivanxay Phetsouvanh,Nanyang Technological University
Saba A. Al-Sayouri,Binghamton University
Ekta Gujral,University of California - Riverside
Danai Koutra,University of Michigan
Evangelos E. Papalexakis,University of California - Riverside
Sarah S. Lam,Binghamton University
Nemi Chandra Rathore,Indian Institute of Technology
Yusuf Mücahit Çetinkaya,Middle East Technical University
Ismail Hakki Toroslu,Middle East Technical University
Hasan Davulcu,Arizona State University
Feiyu Long,Beijing University of Posts and Telecommunications
Nianwen Ning,Beijing University of Posts and Telecommunications
Chenguang Song,Beijing University of Posts and Telecommunications
Pengpeng Zhou,Beijing University of Posts and Telecommunications
Bin Wu 0001,Beijing University of Posts and Telecommunications
Abubakr H. Ombabi,Sudan University of Science and Technology
Wael Ouarda,University of Sfax
Adel M. Alimi,University of Sfax
Inácio de Sousa Fadigas,State University of Feira de Santana
Marcos Grilo Rosa,State University of Feira de Santana
Trazíbulo Henrique,State University of Feira de Santana
Ikechukwu E. Onyenwe,Nnamdi Azikiwe University
Samuel Nwagbo,Nnamdi Azikiwe University
Njideka Mbeledogu,Nnamdi Azikiwe University
Ebele G. Onyedinma,Nnamdi Azikiwe University
Leonardo Ranaldi,Guglielmo Marconi University
Fabio Massimo Zanzotto,University of Rome Tor Vergata
Jianxiong Guo,University of Texas at Dallas
Weili Wu 0001,University of Texas at Dallas
Sabina Priyadarshini,Birla Institute of Technology
Ahmad Hany Hossny,University of Adelaide
Cameron Wong,University of Auckland
Yo-Der Song,University of Auckland
Aniket Mahanti,University of Auckland
Huda Nassar,Stanford University
Austin R. Benson,Cornell University
David F. Gleich,Purdue University
Iraklis Moutidis,University of Exeter
Hywel T. P. Williams,University of Exeter
Madichetty Sreenivasulu,National Institute of Technology
M. Sridevi,National Institute of Technology
Saif ur Rehman,University Institute of Information Technology
Sohail Asghar,COMSAT University Islamabad
Li-An Daniel Wang,Sam Houston State University
George Rochester,Northeastern University
Masaomi Kimura,Shibaura Institute of Technology
Mahboubeh Ahmadalinezhad,University of Ontario Institute of Technology
Masoud Makrehchi,University of Ontario Institute of Technology
Abdelhadi Abta,Cadi Ayyad University
Hassan Laarabi,Hassan II University
Mostafa Rachik,Hassan II University
Hamad Talibi Alaoui,Chouaib Doukkali University
Salahaddine Boutayeb,Cadi Ayyad University
Imane Guellil,Aston University and Folding Space
Yang Zhang 0031,University of Notre Dame
Daniel Zhang 0001,University of Notre Dame
Alexander Kalinin 0005,ITMO University
Danila Vaganov,ITMO University
Ashutosh Bhoi,IIT Bhubaneswar
Sthita Pragyan Pujari,IIT Bhubaneswar
Rakesh Chandra Balabantaray,IIT Bhubaneswar
Orsolya Kardos,University of Szeged
András London,University of Szeged
Tamás Vinkó,University of Szeged
Zahra Aghaee,Shahid Rajaee Teacher Training University
Sahar Kianian,Shahid Rajaee Teacher Training University
Md. Rafiqul Islam 0006,University of Technology Sydney
Shaowu Liu,University of Technology Sydney
Xianzhi Wang 0001,University of Technology Sydney
Guandong Xu,University of Technology Sydney
Xubo Zhang,University of International Business and Economics
Rajesh Basak,Indian Institute of Technology
Soumya K. Ghosh 0001,Indian Institute of Technology
Shamik Sural,Indian Institute of Technology
Wataru Kudo,University of Tokyo
Mao Nishiguchi,University of Tokyo
Fujio Toriumi,University of Tokyo
Nazanin Sabri,University of Tehran
Sadaf Sadeghian,University of Tehran
Behnam Bahrak,University of Tehran
Daobing He,Xihua University
Frances Albert Santos,University of Campinas
Antonio A. F. Loureiro,University of Toronto
Leandro A. Villas,Federal University of Minas Gerais
Sarthak Sengupta,Indian Institute of Information Technology
Anurika Vaish,Indian Institute of Information Technology
Ariel Rodríguez,Kyushu University
Koji Okamura,Kyushu University
Lea Vega,Research Center for Advanced Study from the National Polytechnic Institute
Andres Mendez-Vazquez,Research Center for Advanced Study from the National Polytechnic Institute
