Jing-Kai Lou,National Taiwan University
Shyh-Kang Jeng,National Taiwan University
Fernando Ferri,Institute of Research on Population and Social Policies
Patrizia Grifoni,Institute of Research on Population and Social Policies
Tiziana Guzzo,Institute of Research on Population and Social Policies
Tomoyuki Yuasa,University of Tokyo
Susumu Shirayama,University of Tokyo
Lin Chen 0012,Queensland University of Technology
Yingzi Jin,University of Tokyo
Ching-Yung Lin,IBM
Yutaka Matsuo,University of Tokyo
Mitsuru Ishizuka,University of Tokyo
Walter Quattrociocchi,University of Siena
Eugenia Galeota,University of Rome Tor Vergata
Meeyoung Cha,KAIST
Hamed Haddadi,University of London
Aixin Sun,Nanyang Technological University
Guangying Hua,Bentley University
Dominique Haughton,Bentley University
Vasanth Nair,Louisiana Tech University
Sumeet Dua,Louisiana Tech University
Florian Skopik,AIT Austrian Institute of Technology
Mahadevan Vasudevan,University of Central Florida
Narsingh Deo,University of Central Florida
Frédéric Amblard,University of Social Science
Achim Rettinger,Karlsruhe Institute of Technology
James Caverlee,Texas A&M University
Bradley S. Rees,Florida Institute of Technology
Keith B. Gallagher,Florida Institute of Technology
Salvatore Catanese,University of Messina
Giacomo Fiumara,University of Messina
Christophe Thovex,CNRS
Francky Trichet,CNRS
Deepa Anand,CMR Institute of Management Studies
Oussama Allali,University Pierre and Marie Curie
Lionel Tabourier,University Pierre and Marie Curie
Moonam Ko,University of North Carolina
Malik Muhammad Saad Missen,The Islamia University of Bahawalpur
Darcy A. Davis,University of Notre Dame
Ryan Lichtenwalter,University of Notre Dame
Nitesh V. Chawla,University of Notre Dame
Zeinab Liaghat,Pompeu Fabra University
Amir Hossein Rasekh,Islamic Azad University
Ala Mahdavi,Sharif University of Technology
Santhanakrishnan Anand,Stevens Institute of Technology
Rajarathnam Chandramouli,Stevens Institute of Technology
Koduvayur P. Subbalakshmi,Stevens Institute of Technology
Mukundan Venkataraman,Stevens Institute of Technology
Amit Goyal 0002,University of British Columbia
Laks V. S. Lakshmanan,University of British Columbia
Suresh Venkatasubramanian,University of Utah
Peter Lachenmaier,Bundeswehr University Munich
Florian Ott,Bundeswehr University Munich
Michael Koch 0001,Bundeswehr University Munich
Sharath Hiremagalore,George Mason University
Angelos Stavrou,George Mason University
Huzefa Rangwala,George Mason University
Darko Obradovic,University of Kaiserslautern
Andreas Dengel 0001,University of Kaiserslautern
André Nichterlein,TU Berlin
Johannes Uhlmann,TU Berlin
Mathias Weller,TU Berlin
G. Poornalatha,National Institute of Technology
Prakash S. Raghavendra,National Institute of Technology
Ram Babu Roy,Indian Institute of Management
Uttam Kumar Sarkar,Indian Institute of Management
Juan Lang,University of California - Davis
Shyhtsun Felix Wu,University of California - Davis
Sukru Tikves,Arizona State University
Sujogya Banerjee,Arizona State University
Hamy Temkit,Arizona State University
Sedat Gokalp,Arizona State University
Arunabha Sen,Arizona State University
Steven R. Corman,Arizona State University
Mark Woodward,Arizona State University
Shreejay Nair,Arizona State University
Inayah Rohmaniyah,Gadjah Mada University
Dana Popovici,CNRS
Mikael Desertot,CNRS
Sylvain Lecomte,CNRS
Thierry Delot,CNRS
Tsung-Ting Kuo,National Taiwan University
Chien-Tung Ho,National Taiwan University
San-Chuan Hung,National Taiwan University
Wei-Shih Lin,National Taiwan University
Vinti Agarwal,Jawaharlal Nehru University
Kamal Kant Bharadwaj,Jawaharlal Nehru University
Sean Chester,University of Victoria
Bruce M. Kapron,University of Victoria
Gautam Srivastava,University of Victoria
S. Venkatesh 0001,University of Victoria
Kalapriya Kannan,IBM
Munish Goyal,IBM
George T. Jacob,IBM
Hao-Fan Yang,Queensland University of Technology
Jinglan Zhang,Queensland University of Technology
Paul Roe,Queensland University of Technology
Sandra A. Vannoy,Appalachian State University
Charlie C. Chen,Appalachian State University
B. Dawn Medlin,Appalachian State University
Srividhya Venugopal,Florida Institute of Technology
Evan Stoner,Florida Institute of Technology
Martin Cadeiras,University of California - Los Angeles
Nandamudi Lankalapalli Vijaykumar,National Institute for Space Research (INPE)
Cláudio Alex Jorge da Rocha,Federal Institute of Pará
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará
Carlos Renato Lisboa Francês,Federal University of Pará
Kirill Dyagilev,Technion
Shie Mannor,IBM
Marcin Budka,Bournemouth University
Katarzyna Musial,Kings College London
Mohamed M. Mostafa,Gulf University for Science and Technology
Dieudonné Tchuente,University of Toulouse
C. Marie-Françoise Canut,University of Toulouse
Nadine Jessel,University of Toulouse
André Péninou,University of Toulouse
Nancy Samaan,University of Ottawa
Andreas Harrer,Catholic University
Alona Schmidt,Catholic University
Jeanette B. Ruiz,University of California - Davis
Zhige Xin,University of California - Davis
Nikolay Korovaiko,University of Victoria
Alex Thomo,University of Victoria
Jyi-Shane Liu,National Chengchi University
Ke-Chih Ning,National Chengchi University
Wan-Chun Chuang,National Chengchi University
Ee-Peng Lim,Singapore Management University
Stuart W. Shulman,University of Massachusetts
Michal Jankowski-Lorek,Polish-Japanese Institute of Information Technology
Lukasz Ostrowski,Polish-Japanese Institute of Information Technology
Piotr Turek,Polish-Japanese Institute of Information Technology
Adam Wierzbicki,Polish-Japanese Institute of Information Technology
Yazhe Wang,Singapore Management University
Baihua Zheng,Singapore Management University
John L. Pfaltz,University of Virginia
Guido Sautter,Karlsruhe Institute of Technology
Eva Zangerle,Institute of Computer Science
Wolfgang Gassler,Institute of Computer Science
Günther Specht,Institute of Computer Science
Nicolas Kourtellis,University of South Florida
Ramanuja Simha,University of Delaware
Rahul Tripathi,University of South Florida
Zachary Neal,Michigan State University
Yue Wang 0009,University of North Carolina
Yuan Yao 0001,Nanjing University
Hanghang Tong,Nanjing University
Feng Xu 0007,CUNY
Jian Lu 0001,Nanjing University
Zhiyong Zhang 0002,Xi'an Jiaotong University
Kanliang Wang,Henan University of Science and Technology
Zoheb Hassan Borbora,University of Minnesota
Muhammad Aurangzeb Ahmad,University of Minnesota
Jehwan Oh,University of Minnesota
Tetsuya Yoshida,Hokkaido University
Justin Fagnan,University of Alberta
Ricardo J. G. B. Campello,University of Alberta
Onur Küçüktunç,Ohio State University
Kamer Kaya,Ohio State University
Erik Saule,Ohio State University
Ümit V. Çatalyürek,Ohio State University
Xia Hu,Arizona State University
Andrea Ballatore,University College Dublin
Ilaria Tiddi,Open University
Michael K. Martin,Carnegie Mellon University
Aparna Gullapalli,Carnegie Mellon University
Daniel Faria Bernardes,CNRS
Fabien Tarissan,CNRS
Sean Eyre,U.S. Military Academy
Damon Paulo,U.S. Military Academy
Mahmoudreza Babaei,Sharif University of Technology
Baharan Mirzasoleiman,Sharif University of Technology
Mohammad Ali Safari,Sharif University of Technology
Alysson Bolognesi Prado,State University of Campinas
Maria Cecília Calani Baranauskas,State University of Campinas
Stefan Stieglitz,University of Muenster
Linh Dang-Xuan,University of Muenster
Charles Perez,CNRS
Babiga Birregah,CNRS
Marc Lemercier,CNRS
Alexander V. Mantzaris,University of Strathclyde
Peter Grindrod,University of Oxford
Desmond J. Higham,University of Strathclyde
Hyoungshick Kim,Sungkyunkwan University
Eiko Yoneki,University of Cambridge
C. A. Piña-García,University of Essex
Dongbing Gu,University of Essex
Ghufran Al-Shiridah,Kuwait University
Khaled Mahdi,Kuwait University
Maytham Safar,Kuwait University
Nikolaos Mantas,Aristotle University
Yi-Chen Lo,National Taiwan University
Hung-Che Lai,National Taiwan University
Cheng-Te Li,National Taiwan University
