Andrea Ballatore
Ilaria Tiddi
Marie-Aude Aufaure
Michael K. Martin
Jürgen Pfeffer
Kathleen M. Carley
Aparna Gullapalli
Kathleen M. Carley
Daniel Faria Bernardes
Matthieu Latapy
Fabien Tarissan
Emoke-Ágnes Horvát
Katharina Anna Zweig
Paulo Shakarian
Sean Eyre
Damon Paulo
Mahmoudreza Babaei
Baharan Mirzasoleiman
Mahdi Jalili
Mohammad Ali Safari
Alysson Bolognesi Prado
Maria Cecília Calani Baranauskas
Stefan Stieglitz
Linh Dang-Xuan
Charles Perez
Babiga Birregah
Marc Lemercier
Peter Laflin
Alexander V. Mantzaris
Fiona Ainley
Amanda Otley
Peter Grindrod
Desmond J. Higham
Irena Pletikosa Cvijikj
Erica Dubach Spiegler
Florian Michahelles
Lucas A. Overbey
Benjamin Greco
Christopher Paribello
Terresa Jackson
Antoine Boutet
Hyoungshick Kim
Eiko Yoneki
Riivo Kikas
Marlon Dumas
Márton Karsai
C. A. Piña-García
Dongbing Gu
Ghufran Al-Shiridah
Khaled Mahdi
Maytham Safar
Panagiotis Symeonidis
Nikolaos Mantas
Yi-Chen Lo
Hung-Che Lai
Cheng-Te Li
Shou-De Lin
Wen Xu 0005
Zaixin Lu
Weili Wu 0001
Zhiming Chen
Carson Kai-Sang Leung
Syed Khairuzzaman Tanbeer
Juan J. Cameron
Jeffrey Chan
Samantha Lam
Conor Hayes
Chanhyun Kang
Andrea Pugliese 0001
John Grant
V. S. Subrahmanian
Daniel Schall 0001
Cristiano André da Costa
Dante Zaupa
Jorge Luis Victória Barbosa
Rodrigo da Rosa Righi
João de Camargo
Nikolas Daroit
Adenauer Corrêa Yamin
Sibel Adali
Jennifer Golbeck
Bogdan Gliwa
Anna Zygmunt
Anna Cinzia Squicciarini
Christopher Griffin 0001
Huan Liu 0001
Jiawei Han 0001
Hiroshi Motoda
Arkaitz Zubiaga
Heng Ji
Chhavi Rana
Sanjay Kumar Jain
Ming-Feng Tsai
Chih-Wei Tzeng
Zhe-Li Lin
Arbee L. P. Chen
Anna Vartapetiance
Lee Gillam
Mathias R. Kuhnt
Oliver A. Brust
Colin Cooper
Tomasz Radzik
Yiannis Siantos
Ben Collingsworth
Ronaldo Menezes
Diana Palsetia
Md. Mostofa Ali Patwary
Ankit Agrawal
Alok N. Choudhary
Ali Rahmani
Alan Chia-Lung Chen
Abdullah Sarhan
Jamal Jida
Mohammad Rifaie
Reda Alhajj
Moshen Shahriari
Mahdi Jalili
Tim Weninger
Alexandru-Florin Tatar
Panayotis Antoniadis
Marcelo Dias de Amorim
Serge Fdida
Ali Choumane
Md. Nafiz Hamid
Md. Abu Naser
Md. Kamrul Hasan
Hasan Mahmud
Kenneth Joseph
Kathleen M. Carley
David Filonuk
Geoffrey P. Morgan
Jürgen Pfeffer
Nicolas Dugué
Anthony Perez 0001
Bryan Perozzi
Christopher McCubbin
James T. Halbert
Maximilien Danisch
Jean-Loup Guillaume
Bénédicte Le Grand
Malhar Anjaria
Ram Mohana Reddy Guddeti
David B. Skillicorn
Quan Zheng 0001
Carlo Morselli
Laurie Grieshober
Rachael Hageman Blair
Neil Zhenqiang Gong
Wenchang Xu
Hila Koren
Ido Kaminer
Daphne R. Raban
Tanmoy Chakraborty 0002
Sandipan Sikdar
Niloy Ganguly
Animesh Mukherjee 0001
Konstantinos Pelechrinis
De Wang
Danesh Irani
Calton Pu
Tobias Hoßfeld
Valentin Burger
Haye Hinrichsen
Matthias Hirth
Phuoc Tran-Gia
James Abello
François Queyroi
Peter-Paul van Maanen
Remco Wijn
Erik M. Boertjes
Aibek Makazhanov
Davood Rafiei
Muhammad Waqar
Michael Fire
Dima Kagan
Aviad Elyashar
Yuval Elovici
Kathleen M. Carley
Jürgen Pfeffer
Fred Morstatter
Huan Liu 0001
Tianqing Zhu
Gang Li 0009
Lei Pan 0002
Yongli Ren
Wanlei Zhou
Erick Stattner
Martine Collard
Eamonn O'Loughlin
Diane Payne
Charalampos Chelmis
Ajitesh Srivastava
Viktor K. Prasanna
Trazíbulo Henrique
Inácio de Sousa Fadigas
Marcos Grilo Rosa
Hernane Borges de Barros Pereira
Acar Tamersoy
Elias B. Khalil
Bo Xie 0002
Stephen L. Lenkey
Bryan R. Routledge
Duen Horng Chau
Shamkant B. Navathe
Lingfei Wu
Robert Ackland
John Champaign
Robin Cohen
Noel Sardana
John A. Doucette
Petko Bogdanov
Michael Busch
Jeff Moehlis
Ambuj K. Singh
Boleslaw K. Szymanski
Daniel Archambault
Neil J. Hurley
Pete Burnap
Matthew L. Williams
Luke Sloan
Omer F. Rana
William Housley
Adam Edwards
Vincent A. Knight
Rob Procter
Alex Voss
Yongli Ren
Gang Li 0009
Jun Zhang 0010
Wanlei Zhou
Márcia D. B. Oliveira
Américo Guerreiro
João Gama 0001
Theo Lins
Adriano César Machado Pereira
Fabrício Benevenuto
Sibel Adali
Xiaohui Lu
Malik Magdon-Ismail
Alexey Uversky
Dusan Ramljak
Vladan Radosavljevic
Kosta Ristovski
Zoran Obradovic
Ahmed Abdeen Hamed
Xindong Wu 0001
Alan Rubin
Mingxiang Zhu
Tianjie Cao
Xiangying Jiang
Lidan Fan
Weili Wu 0001
Xuming Zhai
Kai Xing
Wonjun Lee
Ding-Zhu Du
Gnana Thedchanamoorthy
Mahendra Piraveenan
Shahadat Uddin
Upul Senanayake
Folke Mitzlaff
Martin Atzmüller
Andreas Hotho
Gerd Stumme
Christoph Scholz 0001
Martin Atzmueller
Mark Kibanov
Gerd Stumme
Peter-Paul van Maanen
Bob van der Vecht
Karthik Subbian
Dhruv Sharma
Zhen Wen
Jaideep Srivastava
Sushant S. Khopkar
Rakesh Nagi
Alexander G. Nikolaev
Vaibhav Bhembre
Jonathan White
Joon S. Park
Charles A. Kamhoua
Kevin A. Kwiat
Mir-Kamran Mahshid
Reza Eslamipoor
Yifan Hao
Huiping Cao
Chuan Hu
Kabi Bhattarai
Satyajayant Misra
Nam P. Nguyen
Md Abdul Alim
Thang N. Dinh
My T. Thai
Jalel Akaichi
Ahmed Ibrahem Hafez
Aboul Ella Hassanien
Aly A. Fahmy
Mamadou Diaby
Emmanuel Viennet
Tristan Launay
Ryan A. Rossi
Nesreen K. Ahmed
Owen Sacco
John G. Breslin
Andrea Tagarelli
Roberto Interdonato
Cuneyt Gurcan Akcora
Barbara Carminati
Elena Ferrari
Murat Kantarcioglu
Dorit Baras
Amir Ronen
Elad Yom-Tov
Amir Hossein Razavi
Dyah Anggraini
Rokia Missaoui
Jean Vaillancourt
Mohamed Talbi
Amin Javari
Joobin Gharibshah
Mahdi Jalili
Miray Kas
Kathleen M. Carley
L. Richard Carley
Stefanos Antaris
Dimitrios Rafailidis
Alexandros Nanopoulos
Mohsen JafariAsbagh
Emilio Ferrara
Onur Varol
Filippo Menczer
Alessandro Flammini
Gourab Ghoshal
Giuseppe Mangioni
Ronaldo Menezes
Julia Poncela-Casasnovas
Evangelos E. Papalexakis
Tudor Dumitras
Duen Horng Chau
B. Aditya Prakash
Christos Faloutsos
Mohammad Moshirpour
Shimaa M. El-Sherif
Reda Alhajj
Behrouz H. Far
Kyumin Lee
Steve Webb
Hancheng Ge
Marcos A. C. Oliveira
Carmelo J. A. Bastos Filho
Ronaldo Menezes
Róbert Pálovics
András A. Benczúr
William Frankenstein
Ghita Mezzour
Kathleen M. Carley
L. Richard Carley
Ran He
Tian Zheng
Jon Parker
Andrew Yates
Nazli Goharian
Ophir Frieder
Rui Zeng
Quan Z. Sheng
Lina Yao
Andrew Runka
Tony White
Lotfi Bouzguenda
Mahdi Abdelkafi
Tanay Kumar Saha
Baichuan Zhang
Mohammad Al Hasan
Adriano Galati
Karim Djemame
Chris Greenhalgh
Xiang Ji
Soon Ae Chun
Zhi Wei
James Geller
Hemank Lamba
Ramasuri Narayanam
Wenjun Wang 0004
William Nick Street
Tanmoy Chakraborty 0002
Niloy Ganguly
Animesh Mukherjee 0001
Pedro Paredes 0002
Pedro Manuel Pinto Ribeiro
Adrien Guille
Cécile Favre
Shota Saito
Ryota Tomioka
Kenji Yamanishi
Günce Keziban Orman
Vincent Labatut
Marc Plantevit
Jean-François Boulicaut
R. Chulaka Gunasekara
Kishan G. Mehrotra
Chilukuri K. Mohan
Adham Beykikhoshk
Ognjen Arandjelovic
Dinh Q. Phung
Svetha Venkatesh
Terry Caelli
Michael Brutz
François G. Meyer
Vasudev Bhat
Adheesh Gokhale
Ravi Jadhav
Jagat Sastry Pudipeddi
Leman Akoglu
Stefano Faralli 0001
Giovanni Stilo
Paola Velardi
Nicolas Dugué
Vincent Labatut
Anthony Perez 0001
Zide Meng
Fabien Gandon
Catherine Faron-Zucker
Ge Song 0001
Dimitrios Kotsakos
Panos Sakkos
Ioannis Katakis
Dimitrios Gunopulos
Faraz Zaidi
Mohammad Qasim Pasta
Arnaud Sallaberry
Guy Melançon
Yi-Shin Chen
Yi-Cheng Peng
Jheng-He Liang
Elvis Saravia
Fernando Calderon
Chung-Hao Chang
Ya-Ting Chuang
Tzu-Lung Chen
Elizabeth Kwan
Pranav Thulasiram Bhat
Rohit Varkey Thankachan
K. Chandrasekaran 0001
Jalal S. Alowibdi
Ugo A. Buy
Philip S. Yu
Sohaib Ghani
Mohamed F. Mokbel
Giles Oatley
Tom Crick
Mahnaz Roshanaei
Shivakant Mishra
Walid Magdy
Hassan Sajjad
Tarek El-Ganainy
Fabrizio Sebastiani 0001
Wolfgang Eugen Schlauch
Emoke-Ágnes Horvát
Katharina Anna Zweig
Bryan Ek
Caitlin VerSchneider
Nathan D. Cahill
Darren A. Narayan
Rocío Abascal-Mena
Rose Lema
Florence Sèdes
Carlos Sarraute
Jorge Brea
Javier Burroni
Pablo Blanc
Mingming Chen
Boleslaw K. Szymanski
Rui Fan
Jichang Zhao
Ke Xu 0001
Christoph Trattner
Michael Steurer
Rémy Cazabet
Hideaki Takeda 0001
Masahiro Hamasaki
Bruno Vicente Alves de Lima
Vinicius Ponte Machado
Lucas A. Lopes
Tai-Chi Wang
Frederick Kin Hing Phoa
Tun-Chieh Hsu
Andrea Tagarelli
Roberto Interdonato
Maha Ben Kraiem
Jamel Feki
Kaïs Khrouf
Franck Ravat
Olivier Teste
Kent Wickstrøm Jensen
Thomas Schott
Derek Doran
Yuming Lin
Xiaoling Wang
You Li
Aoying Zhou
Sarah Bouraga
Ivan Jureta
Stéphane Faulkner
Dongjin Song
David A. Meyer 0001
George A. Barnett
Ke Jiang
Jesse R. Hammond
Sigal Sina
Avi Rosenfeld
Sarit Kraus
Mehdi Kaytoue
Yoann Pitarch
Marc Plantevit
Céline Robardet
Afra Abnar
Mansoureh Takaffoli
Reihaneh Rabbany
Osmar R. Zaïane
Siddharth Bora
Harvineet Singh
Anirban Sen
Amitabha Bagchi
Parag Singla
Stéphan Clémençon
Héctor de Arazoza
Fabrice Rossi
Viet-Chi Tran
Amina Madani
Omar Boussaid
Djamel Eddine Zegour
Jacob Dijkstra
Srinka Basu
Ujjwal Maulik
Alireza Farasat
Alexander G. Nikolaev
Sargur N. Srihari
Rachael Hageman Blair
Saber Shokat Fadaee
Mehrdad Farajtabar
Ravi Sundaram
Javed A. Aslam
Nikos I. Passas
Erick Stattner
Ahmed Al Dhanhani
Rabeb Mizouni
Hadi Otrok
Ahmad Al-Rubaie
Ajitesh Srivastava
Charalampos Chelmis
Viktor K. Prasanna
Conny Kühne
Klemens Böhm
Mohamed Nader Jelassi
Sadok Ben Yahia
Engelbert Mephu Nguifo
Clay Fink
Aurora Schmidt
Vladimir Barash
Christopher J. Cameron
Michael Macy
Sara Hajian
Tamir Tassa
Francesco Bonchi
S. Venkatesan 0002
Vladimir A. Oleshchuk
Chenniappan Chellappan
Sourabh Prakash
Sushant S. Khopkar
Rakesh Nagi
Gregory Tauer
Sumanth Patil
Kyumin Lee
Shengyu Huang
Xinsheng Li
K. Selçuk Candan
Maria Luisa Sapino
Mehmet Kaya
Shannon Conley
Aron Culotta
Sarwar Kamal
Mohammad Shamsul Arefin
Arash Nobari
Vahid Khodakarami
Reza Eslamipoor
Hassan Hosseini Nasab
Bin Zhou 0003
Eva García Martín
Niklas Lavesson
Mina Doroud
Cong Liao
Anna Cinzia Squicciarini
Christopher Griffin 0001
Sarah Michele Rajtmajer
Rémy Cazabet
Hideaki Takeda 0001
Mário Cordeiro
Rui Sarmento
João Gama 0001
Yi Zhang 0054
Jianguo Lu
Fatih Sen
Rolf T. Wigand
Nitin Agarwal
Serpil Tokdemir Yuce
Rafal Kasprzyk
Chen Avin
Zvi Lotker
David Peleg
Itzik Turkel
Wei Gao 0001
Fabrizio Sebastiani 0001
Steven Laan
Maarten Marx
Robert J. Mokken
Kiran Lakkaraju
Michael Hamann
Gerd Lindner
Henning Meyerhenke
Christian L. Staudt
Dorothea Wagner
Carlos Alessandro Sena de Freitas
Fabrício Benevenuto
Adriano Veloso
Saptarshi Ghosh 0001
Cherry Ahmed
Abeer ElKorany
Reem Bahgat
Jean-Valère Cossu
Vincent Labatut
Nicolas Dugué
Ryosuke Nishi
Taro Takaguchi
Keigo Oka
Takanori Maehara
Masashi Toyoda
Ken-ichi Kawarabayashi
Naoki Masuda
Ogheneovo Dibie
Tamara Sumner
Vladimir Batagelj
Selena Praprotnik
Saptarshi Chakraborty
B. K. Tripathy
Corey Pennycuff
Tim Weninger
Rostyslav Korolov
Justin Peabody
Allen Lavoie
Sanmay Das
Malik Magdon-Ismail
William A. Wallace
Peng Xia
Shuangfei Zhai
Benyuan Liu
Yizhou Sun
Cindy X. Chen
Reza Farahbakhsh
Ángel Cuevas
Noël Crespi
Ira S. Moskowitz
Paul Hyden
Stephen Russell 0001
Angelo Corallo
Cristian Bisconti
Laura Fortunato
Antonio Andrea Gentile
Piergiuseppe Pellè
Amira Soliman 0001
Leila Bahri
Sarunas Girdzijauskas
Barbara Carminati
Elena Ferrari
Gaspar Brogueira
Fernando Batista
João Paulo Carvalho
Billel Hamadache
Hassina Seridi-Bouchelaghem
Nadir Farah
Davide Vega
Matteo Magnani
Danilo Montesi
Roc Meseguer
Felix Freitag
Robert J. Mokken
Eelke M. Heemskerk
Steven Laan
Monika Singh
Divya Bansal
Sanjeev Sofat
Santi Phithakkitnukoon
Zbigniew Smoreda
Nuno Moniz
Francisco Louçã
Márcia D. B. Oliveira
Renato Soeiro
David F. Nettleton
Puteri N. E. Nohuddin
Frans Coenen
Rob M. Christley
Maria Patrizia Vittoria
Pasquale Napolitano
Wolfgang Eugen Schlauch
Katharina Anna Zweig
Despoina Antonakaki
Iasonas Polakis
Elias Athanasopoulos
Sotiris Ioannidis
Paraskevi Fragopoulou
Roger Vargas Jr.
Frank Garcea
Bradford Z. Mahon
Darren A. Narayan
Gizem Korkmaz
Jose Cadena
Chris J. Kuhlman
Achla Marathe
Anil Vullikanti
Naren Ramakrishnan
Wei Wei 0019
Kenneth Joseph
Huan Liu 0001
Kathleen M. Carley
Khaled Almgren
Jeongkyu Lee
Mouhamed Gaith Ayadi
Riadh Bouslimi
Jalel Akaichi
Dharshana Kasthurirathna
Michael Harré
Mahendra Piraveenan
Marco Corneli
Pierre Latouche
Fabrice Rossi
Nicola Lettieri
Antonio Altamura
Armando Faggiano
Delfina Malandrino
Joydip Dhar
Ankur Jain
Vijay K. Gupta
Bijan Ranjbar Sahraei
Haitham Bou-Ammar
Karl Tuyls
Gerhard Weiss
Riccardo Guidotti
Anna Monreale
Salvatore Rinzivillo
Dino Pedreschi
Fosca Giannotti
Alireza Rezvanian
Mohammad Reza Meybodi
Mohamed Shehab
Hakim Touati
Yousra Javed
Alankar Jain
Vivek S. Borkar
Dinesh Garg
Nemanja Spasojevic
Prantik Bhattacharyya
Adithya Rao
Ruocheng Guo
