name,affiliation
Benjamin Cornwell,Cornell University
Benjamin Cowley 0001,University of Helsinki
Benjamin D. Horne,Rensselaer Polytechnic Institute
Benjamin D. Zablocki,Rutgers University
Benjamin Hirsch,Khalifa University
Benjamin Lubin,Boston University
Benjamin W. Campbell,Ohio State University
Benjamin W. K. Hung,Colorado State University
Benyuan Liu,University of Massachusetts
Beom Jun Kim,Ajou University
Berat A. Erol,University of Texas at San Antonio
Bernard Grofman,University of California - Irvine
Bernard J. Jansen,Qatar Computing Research Institute
Bernardo A. Huberman,HP Labs
Bernd Heidergott,VU Amsterdam
Bernhard Leidner,University of Massachusetts
Bernice A. Pescosolido,Indiana University
Bernie Hogan,University of Oxford
Bert De Cuyper,KU Leuven
Bert Huang,Virginia Tech
Bertrand Jouve,CNRS
Beth Molnar,Northeastern University
Bettina Berendt,KU Leuven
Bettina Hoser,University of Karlsruhe (TH)
Bhavtosh Rath,University of Minnesota
Bijan Ranjbar Sahraei,Maastricht University
Bilal Gonen,University of Cincinnati
Bill Mitchell,University of Newcastle
Billy Pik Lik Lau,Singapore University of Technology and Design
Bin Hu 0001,Lanzhou University
Bin Ning,Beijing Jiaotong University
Bin Wu 0001,Beijing University of Posts and Telecommunications
Bin Zhou 0003,Southern Illinois University
Binbin Hu,Beijing University of Posts and Telecommunications
Bing-Chuan Wang,City University of Hong Kong
Bingxu Zhao,Yantai University
Binyao Duan,University of Science and Technology of China
Biraj Dahal,Clemson University
Bivas Mitra,IIT Kharagpur
Björn Bebensee,Seoul National University
Blair D. Sullivan,North Carolina State University
Blake C. Stacey,New England Complex Systems Institute
Bo An 0001,Nanyang Technological University
Bo Gao 0002,KU Leuven
Bo Liu 0024,University of Auckland
Bo Xie 0002,Georgia Institute of Technology
Bo Xu 0008,Dalian University of Technology
Bo Yang 0034,Tongji University
Bo Zhang 0004,Shanghai Normal University
Bo Zhou 0001,Liverpool John Moores University
Bo-Han Yan,Henan University of Economics and Law
Bogdan Carbunar,Florida International University
Bogdan Dit,Boise State University
Bogoan Kim,Ajou University
Bogumil Kaminski,Institute of Econometrics
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Borworn Papasratorn,King Mongkut's University of Technology Thonburi
Boyi Xu,Shanghai Jiao Tong University
Bradford Z. Mahon,University of Rochester
Bradley Crouch,University of Illinois at Urbana-Champaign
Brandon Brooks,Michigan State University
Brandy Aven,Carnegie Mellon University
Brea L. Perry,Indiana University
Brendan Nyhan,University of Michigan
Brent Simpson,University of South Carolina
Brett Snider,University of Guelph
Brian C. Britt,University of Alabama
Brian Carolan,City University of New York
Brian Davis 0001,National University of Ireland
Brian E. Vaughn,Auburn University
Brian F. Schaffner,University of Massachusetts
Brian Francis,Lancaster University
Brian J. Goode,Western University
Brian Keegan,University of Colorado
Brian Mann,University of Notre Dame
Brian Rubineau,McGill University
Brian S. Mustanski,Western University
Brice Effantin,CNRS
Brigham S. Anderson,Carnegie Mellon University
Brijesh Singh,IIT Guwahati
Britta Renner,University of Konstanz
Britta Ruhnau,University of Dortmund
Brooke Foucault Welles,Northeastern University
Bruce A. Desmarais,Pennsylvania State University
Bruce C. Straits,University of California - Santa Barbara
Bruce Cronin,University of Greenwich
Bruce M. Kapron,University of Victoria
Bryan Ek,Rochester Institute of Technology
Bryan Perozzi,Stony Brook University
Bryan R. Routledge,Carnegie Mellon University
Byoung-Tak Zhang,Seoul National University
Bálint Néray,Hungarian Academy of Sciences
Béla Janky,Budapest University of Technology and Economics
C. A. Piña-García,University of Essex
C. Christina Mehta,Emory University
C. Deniz Yenigün,Istanbul Bilgi University
C. I. Ezeife,University of Windsor
C. Prem Sankar,University of Kerala
C. S. Shaijumon,Indian Institute of Space Science and Technology
Cai Fu,Huazhong University of Science and Technology
Caitlin E. Hughes,UNSW
Caitlin Porter,Purdue University
Caiwei Yuan,Harbin Institute of Technology
Calton Pu,Georgia Institute of Technology
Camellia Sarkar,IIT Indore
Cameron Wong,University of Auckland
Camille Roth,CNRS
Candice L. Lanius,University of Alabama
Carl A. Latkin,Johns Hopkins University
Carl Nordlund,Linköping University
Carlene Wilson,Flinders University
Carlo Lipizzi,Stevens Institute of Technology
Carlo Morselli,University of Montreal
Carlo Piccardi,Politecnico di Milano
Carlos Algara,University of California - Davis
Carlos Castillo 0001,Universitat Pompeu Fabra
Carlos Lozares,Autonomous University of Barcelona
Carlos Rene Argueta,National Tsing Hua University
Carmen Ramos Carvajal,University of Oviedo
Carol Lynn Martin,Arizona State University
Carol Xiaojuan Ou,Tilburg University
Caroline Acker,Carnegie Mellon University
Carolyn J. Anderson,University of Illinois at Urbana-Champaign
Carson Kai-Sang Leung,University of Manitoba
Carter T. Butts,University of California - Irvine
Cassie McMillan,Pennsylvania State University
Caterina Giannetti,University of Bologna
Catherine A. Calder,Ohio State University
Catherine Faron-Zucker,CNRS
Catherine Riegle-Crumb,University of Texas at Austin
Catherine T. Shea,Carnegie Mellon University
Catholijn M. Jonker,Leiden University
Cecilia Menjívar,University of Kansas
Ceyhun Eksin,Georgia Institute of Technology
Chaitanya Shivade,Amazon Inc.
Chamil Kulatunga,University College Dublin
Chandan K. Reddy,Virginia Tech
Chandra Muller,University of Texas at Austin
Changbing Tang,Zhejiang Normal University
Changjun Jiang,Tongji University
Changqi Wang,Tongji University
Changqing Luo,Virginia Commonwealth University
Chanhyun Kang,University of Maryland - College Park
Chao Chen 0015,Deakin University
Chao Huang 0001,University of Notre Dame
Chao Liang,York University
Chaochao Li,Zhengzhou University
Chaodong Wang,Tongji University
Chaojie Ji,Chinese Academy of Sciences
Chaoxi Li,Shenzhen University
Charalampos Chelmis,University of Southern California
Charalampos E. Tsourakakis,Carnegie Mellon University
Charith Perera,Open University
Charles Carroll,University of Groningen
Charles F. Mann,Southern Methodist University
Charles J. Gomez,Stanford University
Charles Kadushin,Brandeis University
Charles M. Macal,Argonne National Laboratory
Charles Perez,CNRS
Charlie Catlett,Argonne National Laboratory
Charlotte Struyve,KU Leuven
Charu C. Aggarwal,IBM
Chau Yuen,Singapore University of Technology and Design
Chee Siang Ang,University of Kent
Chelsea C. White III,Georgia Institute of Technology
Chen Avin,Ben Gurion University of the Negev
Chen Diao,Ningxia University
Chen Ding 0004,Ryerson University
Chen Lv,Cranfield University
Chen Wang 0011,Huazhong University of Science and Technology
Chen Wang 0042,Northeastern University
Chenbo Fu,Zhejiang University
Cheng Guo 0001,Dalian University of Technology
Cheng Long,Nanyang Technological University
Cheng Wang 0001,Tongji University
Cheng Wang 0010,University of Notre Dame
Cheng Yang 0002,Beijing University of Posts and Telecommunications
Cheng-Shang Chang,National Tsing Hua University
Cheng-Te Li,National Taiwan University
Cheng-Zhong Xu 0001,Chinese Academy of Sciences
Chengjue Yuan,Shanghai Jiao Tong University
Chenguang Song,Beijing University of Posts and Telecommunications
Chengwei Liu,University of Warwick
Chengwen Luo 0001,Shenzhen University
Chenhan Zhang,University of Technology Sydney
Chenting Jiang,University of Tasmania
Chenwang Zheng,Beijing Jiaotong University
Cherie Noteboom,Dakota State University
Cherry Ahmed,Cairo University
Chetan Harichandra Mendhe,Lakehead University
Chi Harold Liu,Beijing Institute of Technology
Chia-Yu Lin,Yuan Ze University
Chiara Broccatelli,University of Glasgow
Chiara Pulice,University of Maryland - College Park
Chien-Te Wu,National Taiwan University
Chien-Tung Ho,National Taiwan University
Chih-Hang Wu,Kansas State University
Chih-Ping Chou,University of Southern California
Chih-Wei Tzeng,National Chengchi University
Chih-Ya Shen,National Tsing Hua University
Chilukuri K. Mohan,Syracuse University
Ching-Chu Huang,National Tsing Hua University
Ching-Ling Cheng,National Taiwan Normal University
Ching-Yung Lin,IBM
Chloé Meredith,KU Leuven
Chloé Provost,University of Montreal
Chris Baerveldt,University of Utrecht
Chris Greenhalgh,University of Leeds
Chris Hankin,Imperial College London
Chris J. Kuhlman,University of Virginia
Chris J. Lintott,University of Oxford
Chris Muelder,University of California - Davis
Chris Phethean,University of Southampton
Chris Snijders,Eindhoven University of Technology
Christian Aßmann,University of Bamberg
Christian Buchta,Institute for Service Marketing and Tourism
Christian E. G. Steglich,University of Groningen
Christian Henning,University of Kiel
Christian L. Staudt,Karlsruhe Institute of Technology
Christian Leuprecht,Royal Military College of Canada
Christian R. Shelton,University of California - Riverside
Christian Rohner,Uppsala University
Christian Steglich,University of Groningen
Christian Tallberg,Stockholm University
Christina Salmivalli,University of Turku
Christofer R. Edling,Lund University
Christoph H. Loch,HP Labs
Christoph Houman Ellersgaard,Copenhagen Business School
Christoph Scholz 0001,University of Kassel
Christoph Stadtfeld,ETH Zurich
Christoph Trattner,NTNU
Christophe Thovex,CNRS
Christophe Vandeviver,Ghent University
Christopher C. Yang,Drexel University
Christopher J. Cameron,Cornell University
Christopher L. Barrett,Virginia Tech
Christopher L. Magee,Massachusetts Institute of Technology
Christopher Marquis,Harvard University
Christopher McCarty,University of Florida
Christopher R. Browning,Ohio State University
Christopher Rich,Arizona State University
Christopher Steven Marcum,National Human Genome Research Institute
Christopher Sukhu,University of Chicago
Christos Faloutsos,Carnegie Mellon University
Chuan Hu,New Mexico State University
ChuanRen Liu,University of Tennessee
Chuangen Gao,Shandong University
Chun Xu,Sichuan University
Chunbo Luo,University of Exeter
Chung-Hao Chang,National Tsing Hua University
Chungang Yan,Tongji University
Chunhua Gu,Shanghai University
Chunming Rong,University of Stavanger
Chunxiang Xu,UESTC
Chyi-In Wu,Academia Sinica
Cindarella Petz,Technical University of Munich
Cindy X. Chen,University of Massachusetts
Ciro Cattuto,Institute for Scientific Interchange (ISI) Foundation
Claire Bidart,CNRS
Claire Kelling,Penn State University
Claude S. Fischer,University of California - Berkeley
Claudia Brandelero Rizzi,Western Paraná State University
Claudia Müller 0002,University of Siegen
Claudia Müller-Birn,Carnegie Mellon University
Claudia Wagner,GESIS - Leibniz Institute for the Social Sciences
Claudio Lucchese,Nokia Bell Labs
Clay Fink,Johns Hopkins University
Clemens Kroneberg,Institute of Sociology
Clemens Lechner,GESIS - Leibniz Institute for the Social Sciences
Cliff Lampe,University of Michigan
Clémence Magnien,CNRS
Cohen R. Simpson,University of Oxford
Colin M. Gray,Purdue University
Colin Roberts,Cardiff University
Collins Census,Southwest Jiaotong University
Cong Liao,Pennsylvania State University
Cong Yang,University of Siegen
Congtao Wang,Anhui University
Congyu Wu,University of Virginia
Conny Kühne,Karlsruhe Institute of Technology
Conrad Lee,University College Dublin
Conrado Manuel,Universidad Complutense de Madrid
Cor J. Veenman,Leiden University
Cordula Wagner,NIVEL: Netherlands Institute for Health Services Research
Corey Pennycuff,University of Notre Dame
Corina Graif,Pennsylvania State University
Craig Pearson,University of Melbourne
Cristian Bisconti,University of Salento
Cristian Molinaro,University of Calabria
Csaba Pléh,Central European University
Cuihua Shen,University of California - Davis
Curtis L. Maines,Liverpool John Moores University
Cynthia Giguère,University of Montreal
Cynthia M. Lakon,University of California - Irvine
Cynthia M. Webster,University of New South Wales
Cyprian Wejnert,Cornell University
Cécile Bothorel,CNRS
Cécile Emery,London School of Economics and Political Science
Céline Robardet,CNRS
D. Wayne Osgood,Pennsylvania State University
Dachuan Xu,Beijing University of Technology
Daiyu Huang,Donghua University
Dali Ma,Drexel University
Damian A. Tamburri,Eindhoven University of Technology
Damla Turgut,University of Central Florida
Dan Braha,New England Complex Systems Institute
Dan J. Wang,Stanford University
Dan Tao,Beijing Jiaotong University
Dan Zhang 0001,Zhejiang University
Dana L. Haynie,Ohio State University
Dana Popovici,CNRS
Danai Koutra,University of Michigan
Danching Ruan,Hong Kong Baptist University
Danesh Irani,Georgia Institute of Technology
Daniel A. McFarland,Stanford University
Daniel A. Newman,University of Illinois at Urbana-Champaign
Daniel Archambault,Swansea University
Daniel Danner,University of Applied Labour Studies
Daniel DellaPosta,Cornell University
Daniel Diermeier,University of Chicago
Daniel Faria Bernardes,CNRS
Daniel Franzmann,Goethe University Frankfurt
Daniel Gatica-Perez,EPFL
Daniel J. Brass,University of Kent
Daniel K. Sewell,University of Iowa
Daniel Lavenu,University of Caen
Daniel Maier,Free University
Daniel P. Enemark,University of Southern California
Daniel Riehm,University of Notre Dame
Daniel S. Halgin,University of Kent
Daniel W. Soto,University of Southern California
Daniel W. Stashuk,University of Waterloo
Daniel Yue Zhang,University of Notre Dame
Daniel Z. Levin,Rutgers University
Daniel Zeng,Chinese Academy of Sciences
Daniel Zhang 0001,University of Notre Dame
Daniela Stoltenberg,University of Münster
Daniele Bellutta,Dartmouth College
Daniele Mascia,University of Bologna
Daniele Tessera,Catholic University
Danilo Montesi,University of Bologna
Daniël Paulusma,Durham University
Dante Contreras,University of Chile
Danupol Hoonsopon,Chulalongkorn University
Dany Kamuhanda,Huazhong University of Science and Technology
Daobing He,Chongqing University
Daphne R. Raban,University of Haifa
Darcy A. Davis,University of Notre Dame
Dario Borrelli,Stevens Institute of Technology
Dario Gregori,University of Torino
Darren A. Narayan,Rochester Institute of Technology
Darren C. Treadway,State University of New York at Buffalo
Darren M. Scott,McMaster University
Darren Scott Appling,Georgia Institute of Technology
Darryl Wright,University of Minnesota
Darshan Santani,Idiap Research Institute
Dave McKenney,Carleton University
David A. Bright,Flinders University
David A. Meyer 0001,University of California - San Diego
David A. Rolls,University of Melbourne
David A. Smith,University of California - Irvine
David B. Skillicorn,Queen's University
David B. Smith 0001,CSIRO
David B. Tindall,University of British Columbia
David Ben-Arieh,Kansas State University
David C. Bell,Indiana University
David D. Rowlee,University of South Carolina
David E. Eagle,Duke University
David F. Gleich,Purdue University
David F. Nettleton,Universitat Pompeu Fabra
David Filonuk,Carnegie Mellon University
David H. Rogers,Cardiff University
David Hachen,University of Notre Dame
David Holman,University of Sheffield
David J. Crandall,Indiana University
David J. Roelfs,University of Louisville
David J. Yates,Bentley University
David Knoke,University of Minnesota
David Krackhardt,Carnegie Mellon University
David Kretschmer,University of Mannheim
David L. Albright,University of Alabama
David Lazer,Harvard University
David M. Murungi,Bentley University
David Melamed,Ohio State University
David R. Hunter,Penn State University
David R. Schaefer,University of California - Irvine
David Reitter,Google
David Savage,Massachusetts Institute of Technology
David Schoch,ETH Zurich
David Tuckett,University College London
David W. Matula,Southern Methodist University
David W. McDonald,University of Washington
David Willer,University of South Carolina
Davide Barrera,Utrecht University
Davide Vega,University of Bologna
Davood Rafiei,University of Alberta
Dawn Iacobucci,Vanderbilt University
De Wang,Georgia Institute of Technology
De-Nian Yang,Institute of Information Science
