Hassan Hosseini Nasab,"Industrial Engineering Department, Faculty of Engineering, Yazd University, Yazd, Iran"
Eva García Martín,"Blekinge Institute of Technology, Karlskrona, Sweden"
Niklas Lavesson,"Blekinge Institute of Technology, Karlskrona, Sweden"
Mina Doroud,"Twitter Inc., San Francisco, USA"
Christopher Griffin 0001,"Department of Mathematics, United States Naval Academy, Annapolis, USA"
Rémy Cazabet,"National Institute of Informatics, Tokyo, Japan"
Hideaki Takeda 0001,"National Institute of Informatics, Tokyo, Japan"
Mário Cordeiro,"FEUP, Porto University, Porto, Portugal"
Rui Sarmento,"LIAAD - INESC TEC, FEP, Porto University, Porto, Portugal"
Fatih Sen,"Le Bonheur Children's Hospital, Memphis, USA"
Rafal Kasprzyk,"Military University of Technology, Warsaw, Poland"
David Peleg,"Department of Computer Science, University of Paris Diderot, Paris, France"
Carlos Alessandro Sena de Freitas,"Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
Adriano Veloso,"Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
Jean-Valère Cossu,"Université d'Avignon, Avignon, France"
Vincent Labatut,"Université d'Avignon, Avignon, France"
Nicolas Dugué,"Université d'Orléans, INSA Centre Val de Loire, Blois, France"
Ryosuke Nishi,"National Institute of Informatics, Tokyo, Japan"
Taro Takaguchi,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Keigo Oka,"Department of Mechanical and Aerospace Engineering, Graduate School of Engineering, Tottori University, Tottori, Japan"
Takanori Maehara,"National Institute of Informatics, Tokyo, Japan"
Masashi Toyoda,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Ken-ichi Kawarabayashi,"National Institute of Information and Communications Technology, Koganei, Japan"
Naoki Masuda,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Saptarshi Chakraborty,"Department of Computer Science and Engineering, VIT University, Vellore, India"
B. K. Tripathy,"Department of Computer Science and Engineering, VIT University, Vellore, India"
Shuangfei Zhai,"Department of Computer Science, Binghamton Univeristy, State University of New York, Binghamton, USA"
Noël Crespi,"Universidad Carlos III de Madrid, Madrid, Spain"
Ira S. Moskowitz,"Information Management and Decision Architectures Branch, Code 5580, Naval Research Laboratory, Washington, USA"
Paul Hyden,"Information Management and Decision Architectures Branch, Code 5580, Naval Research Laboratory, Washington, USA"
Stephen Russell 0001,"Battlefield Information Processing Branch, US Army Research Laboratory, Adelphi, USA"
Piergiuseppe Pellè,"Dhitech SCARL, High Technology Cluster, Lecce, Italy"
Amira Soliman 0001,"Software and Computer Systems, School of Information and Communication Technology, Royal Institute of Technology (KTH), Stockholm, Sweden"
Leila Bahri,"DISTA, Insubria University, Varese, Italy"
Barbara Carminati,"DISTA, Insubria University, Varese, Italy"
Elena Ferrari,"DISTA, Insubria University, Varese, Italy"
Gaspar Brogueira,"INESC-ID, Lisbon, Portugal"
Fernando Batista,"ISCTE-IUL – Instituto Universitário de Lisboa, Lisbon, Portugal"
