Wendy Moncur,"School of Nursing and Health Sciences, University of Dundee; Duncan of Jordanstone College of Art 8 Design, University of Dundee, UK"
Emily Porter,"University of Washington, Seattle, WA, USA"
P. M. Krafft,"University of Oxford, UK"
Brian Keegan,"University of Colorado, Boulder, CO, USA"
Ofer Arazy,"University of Haifa, Haifa, Israel"
Aron Lindberg,"Stevens Institute of Technology, NJ, USA"
Shakked Lev,"University of Haifa, Haifa, Israel"
Kexian Wu,"Stevens Institute of Technology, NJ, USA"
Alex Yarovoy,"University of Haifa, Haifa, Israel"
Sanjaya Wijeratne,"Holler Technologies, Inc., CA, USA"
Horacio Saggion,"Universitat Pompeu Fabra, Barcelona, Spain"
Emre Kiciman,"Microsoft Research AI, WA, USA"
Amit P. Sheth,"Artificial Intelligence Institute, University of South Carolina, SC, USA"
Konstantin Kobs,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Albin Zehe,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Armin Bernstetter,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Julian Chibane,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Jan Pfister,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Julian Tritscher,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Andreas Hotho,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Yunhe Feng,"University of Tennessee, Knoxville, TN, USA"
Zheng Lu 0005,"University of Tennessee, Knoxville, TN, USA"
Wenjun Zhou 0001,"University of Tennessee, Knoxville, TN, USA"
Zhibo Wang,"Wuhan University, Wuhan, Hubei Province, China"
Qing Cao,"University of Tennessee, Knoxville, TN, USA"
Joongyum Kim,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Taesik Gong,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Bogoan Kim,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Jaeyeon Park,"Yonsei university, YeonsuGu, Incheon, Republic of Korea"
Woojeong Kim,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Evey Huang,"Northwestern University, Evanston, IL, USA"
Kyungsik Han,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Juho Kim,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
JeongGil Ko,"Yonsei University, YeonsuGu, Incheon, Republic of Korea"
Sung-Ju Lee,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Susan C. Herring,"University of Indiana Bloomington, IN, USA"
Ashley R. Dainas,"University of Indiana Bloomington, IN, USA"
Alexander Robertson,"University of Edinburgh, Edinburgh, Scotland"
Walid Magdy,"University of Edinburgh, Edinburgh, Scotland"
Sharon Goldwater,"University of Edinburgh, Edinburgh, Scotland"
Sarah Alismail,"Claremont Graduate University, CA, USA"
Hengwei Zhang,"Claremont Graduate University, CA, USA"
Ericsson Marin,"Arizona State University, AZ, USA"
Ruocheng Guo,"Arizona State University, AZ, USA"
Paulo Shakarian,"Arizona State University, AZ, USA"
Ian D. Wood,"Macquarie Univeristy, Balaclava Road, North Ryde, NSW, Australia"
John Glover,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Paul Buitelaar,"National University of Ireland Galway, University Road, Galway, Ireland"
Mohammad Al-Ramahi,"College of Business, Texas A&M University-San Antonio, San Antonio, TX, USA"
Cherie Noteboom,"College of Business & Information Systems, Dakota State University, Madison, SD, USA"
Tianshu Lyu,"Department of Machine Intelligence, Peking University"
Lidong Bing,"DAMO Academy, Alibaba Group"
Zhao Zhang,Kwai Inc.
Yan Zhang 0004,"Department of Machine Intelligence, Peking University"
Sajedul Rahim Talukder,"Edinboro University, USA"
Bogdan Carbunar,"Florida International University, USA"
Daniel Franzmann,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Arvid Alexander Eichner,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Roland Holten,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Lucas Santos de Oliveira,Federal University of Minas Gerais
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais
Marcelo S. Amaral,State University of Southwestern of Bahia
José Antônio G. Pinho,Federal University of Bahia
Pamela J. Wisniewski,"University of Central Florida, Orlando, FL"
Karla A. Badillo-Urquiola,"University of Central Florida, Orlando, FL"
Zahra Ashktorab,"IBM Research AI, Yorktown Heights, NY"
Jessica Vitak,"University of Maryand, College Park, MD"
Alex Yarovoy,"University of Haifa, Mount Carmel, Haifa, Israel"
Yiftach Nagar,"University of Haifa, Mount Carmel, Haifa, Israel"
Einat Minkov,"University of Haifa, Mount Carmel, Haifa, Israel"
Ofer Arazy,"University of Haifa, Mount Carmel, Haifa, Israel"
Joshua M. Chamberlain,"Boise State University, Boise"
Francesca Spezzano,"Boise State University, Boise"
Jaclyn J. Kettler,"Boise State University, Boise"
Bogdan Dit,"Boise State University, Boise"
Amro Khasawneh,"Johns Hopkins University, Baltimore, MD"
Kapil Chalil Madathil,"Clemson University, Clemson, SC"
Heidi Zinzow,"Clemson University, Clemson, SC"
Pamela J. Wisniewski,"University of Central Florida, Orlando, FL"
Amal Ponathil,"Clemson University, Clemson, SC"
Hunter Rogers,"Clemson University, Clemson, SC"
Sruthy Agnisarman,"Clemson University, Clemson, SC"
Rebecca Roth,"Clemson University, Clemson, SC"
Meera Narasimhan,"University of South Carolina, Columbia, SC"
Milad Mirbabaie,"Faculty of Business Studies and Economics, University of Bremen, Bremen, Germany"
Felix Brünker,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Magdalena Wischnewski,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Judith Meinert,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Jani Holopainen,University of Helsinki
Osmo Mattila,"University of Eastern Finland, Yliopistokatu, Joensuu Finland"
Petri Parvinen,Aalto University
Essi Pöyry,University of Helsinki
Tuure Tuunanen,University of Jyväskylä
Sandeep Purao,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
David M. Murungi,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
David J. Yates,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
Simo Järvelä,"University of Helsinki, Tampere University,  Aalto University, Finland"
Benjamin Cowley 0001,"University of Helsinki, Finland"
Mikko Salminen,"Tampere University, Finland"
Giulio Jacucci,"University of Helsinki, Finland"
Juho Hamari,"Tampere University, Finland"
Niklas Ravaja,"University of Helsinki, Finland"
David W. McDonald,"Department of Human Centered Design & Engineering, University of Washington"
Mark Zachry,"Department of Human Centered Design & Engineering, University of Washington"
Frank L. Greitzer,"PsyberAnalytix, Richland, WA USA"
Wanru Li,"George Mason University, Fairfax, VA USA"
Kathryn B. Laskey,"George Mason University, Fairfax, VA USA"
James D. Lee,"George Mason University, Fairfax, VA USA"
Justin Purl,Human Resources Research Organization
